incident_date,incident_number,cad_number,alarm_date_time,unit_clear_date_time,street_address,apt_suite_number,neighborhood,incident_type_id,incident_type_desc,alarms,suppression_app_count,suppression_per_count,ems_app_count,ems_per_count,other_app_count,other_per_count,incident_closed,Location
09/13/2013,81,13256081,09/13/2013 11:08:00 AM,09/13/2013 11:14:00 AM,1435 KENOVA AV,,ROSELAWN  ,700,"False alarm or false call, other",0,2,8,0,,0,0,1,"CINC 45237
(39.19171689800004, -84.45486811699999)"
10/22/2013,4,13295004,10/22/2013 12:47:00 AM,10/22/2013 01:18:00 AM,2525 VICTORY PY ,3RD,WALNUT HIL,735,Alarm system sounded due to malfunction,0,2,8,0,,0,0,1,"CINC 206
(39.58986157800007, -89.65489696199995)"
11/17/2013,136,13321136,11/17/2013 06:35:00 PM,11/17/2013 06:48:00 PM,4625 GLENWAY AV,,WEST PRICE,444,Power line down,0,1,4,0,,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
05/30/2013,32,13150032,05/30/2013 06:29:00 AM,05/30/2013 06:40:00 AM,206 ALBERT SABIN WY,,CORRYVILLE,735,Alarm system sounded due to malfunction,0,2,8,0,,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
02/08/2013,101,13039101,02/08/2013 01:28:00 PM,02/08/2013 01:40:00 PM,3040 FORRER ST,,OAKLEY    ,730,"System malfunction, other",0,1,4,0,0,0,0,1,"CINC 45209
(39.15225990300007, -84.42664730599995)"
09/06/2013,177,13249177,09/06/2013 07:40:00 PM,09/06/2013 08:01:00 PM,6461 LOISWOOD DR,,COLLEGE  H,746,"Carbon monoxide detector activation, no CO",0,1,4,0,,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
01/03/2013,11,13003011,01/03/2013 01:56:00 AM,01/03/2013 02:22:00 AM,4924 HAWAIIAN TE,A,MOUNT AIRY,440,"Electrical  wiring/equipment problem, other",0,5,15,0,0,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
03/13/2013,177,13072177,03/13/2013 06:21:00 PM,03/13/2013 06:51:00 PM,5343 HAMILTON AV,,COLLEGE  H,111,Fire - Building,0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
01/10/2013,93,13010093,01/10/2013 10:49:00 AM,01/10/2013 11:19:00 AM,3722 BEEKMAN ST,1,S.. CUMMIN,412,Gas leak (natural gas or LPG),0,2,8,0,0,0,0,1,"CINC 45225
(39.14027637700008, -84.54955882199994)"
07/14/2013,191,13195191,07/14/2013 07:26:00 PM,07/14/2013 07:34:00 PM,1116 MAIN ST,,OVER-THE-R,730,"System malfunction, other",0,2,8,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
07/26/2013,94,13207094,07/26/2013 10:32:00 AM,07/26/2013 10:46:00 AM,3325 CLIFTON AV,,CLIFTON   ,130,"Mobile property (vehicle) fire, other",0,1,4,0,,0,0,1,"CINC 45220
(39.143209256000034, -84.52157698599996)"
12/25/2013,35,13359035,12/25/2013 07:53:00 AM,12/25/2013 08:19:00 AM,2144 FERGUSON RD,,WEST PRICE,730,"System malfunction, other",0,2,8,0,,0,0,1,"CINC 45238
(39.11445835500007, -84.60720835499995)"
02/10/2013,8,13041008,02/10/2013 01:06:00 AM,02/10/2013 01:28:00 AM,707 KING DR,,CLIFTON/UN,651,"Smoke scare, odor of smoke",0,3,9,0,,0,0,1,"CINC 45225
(39.14027637700008, -84.54955882199994)"
01/29/2013,230,13029230,01/29/2013 06:53:00 PM,01/29/2013 07:09:00 PM,937 WINDSOR ST,,WALNUT HIL,412,Gas leak (natural gas or LPG),0,1,4,0,0,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
01/12/2013,70,13012070,01/12/2013 10:09:00 AM,01/12/2013 10:30:00 AM,424 GEST ST,,QUEENSGATE,734,Heat detector activation due to malfunction,0,3,9,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
09/13/2013,82,13256082,09/13/2013 11:10:00 AM,09/13/2013 11:21:00 AM,6000 FERNVIEW AV,,PLEASANT R,730,"System malfunction, other",0,3,12,0,,0,0,1,"CINC 45213
(39.18204926000004, -84.42030794299995)"
08/21/2013,156,13233156,08/21/2013 07:17:00 PM,08/21/2013 07:30:00 PM,3900 WILLIAMSBURG RD,,HARTWELL  ,600,"Good intent call, other",0,1,4,0,0,0,0,1,"CINCINNATI 45216
(39.19856897100004, -84.47975630799993)"
06/26/2013,201,13177201,06/26/2013 07:27:00 PM,06/26/2013 08:25:00 PM,0 DALY RD,,COLLEGE  H,600,"Good intent call, other",0,3,10,0,,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
03/14/2013,39,13073039,03/14/2013 07:21:00 AM,03/14/2013 07:33:00 AM,1420 SYCAMORE ST,,PENDLETON ,745,"Alarm system activation, no fire - unintentional",0,2,8,0,0,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
08/21/2013,182,13233182,08/21/2013 10:06:00 PM,08/22/2013 02:10:00 AM,1266 ILIFF AV,,WEST PRICE,111,Fire - Building,1,12,35,1,2,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
11/03/2013,103,13307103,11/03/2013 12:57:00 PM,11/03/2013 01:08:00 PM,1090 ARCHLAND DR,,COLLEGE  H,743,"Smoke detector activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
07/06/2013,210,13187210,07/06/2013 10:51:00 PM,07/06/2013 11:44:00 PM,4530 READING RD,,PADDOCK  H,411,Gasoline or other flammable liquid spill,0,1,4,0,,1,4,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
05/31/2013,64,13151064,05/31/2013 10:36:00 AM,05/31/2013 11:14:00 AM,44 DE CAMP AV,,HARTWELL  ,440,"Electrical  wiring/equipment problem, other",0,10,32,2,4,0,0,1,"CINC 45216
(39.19856897100004, -84.47975630799993)"
