incident_date,incident_number,cad_number,alarm_date_time,unit_clear_date_time,street_address,apt_suite_number,neighborhood,incident_type_id,incident_type_desc,alarms,suppression_app_count,suppression_per_count,ems_app_count,ems_per_count,other_app_count,other_per_count,incident_closed,Location
07/01/2013,124,13182124,07/01/2013 03:39:00 PM,07/01/2013 04:38:00 PM,0 I71 ,,EVANSTON  ,700,"False alarm or false call, other",0,4,14,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
06/12/2013,58,13163058,06/12/2013 10:00:00 AM,06/12/2013 10:17:00 AM,3588 DICK ST,,AVONDALE  ,736,CO detector activation due to malfunction,0,1,4,0,,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
04/02/2013,188,13092188,04/02/2013 04:39:00 PM,04/02/2013 05:10:00 PM,1168 TOWANDA TE,,BONDHILL  ,130,"Mobile property (vehicle) fire, other",0,1,4,0,,0,0,1,"CINCINNATI 45216
(39.19856897100004, -84.47975630799993)"
07/25/2013,130,13206130,07/25/2013 03:16:00 PM,07/25/2013 03:35:00 PM,1011 CUTTER ST,,WEST  END ,651,"Smoke scare, odor of smoke",0,10,32,1,2,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
08/11/2013,18,13223018,08/11/2013 01:41:00 AM,08/11/2013 01:54:00 AM,2906 VINE ST,309,CORRYVILLE,730,"System malfunction, other",0,2,8,0,,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
01/14/2013,158,13014158,01/14/2013 06:33:00 PM,01/14/2013 06:46:00 PM,4431 COLERAIN AV,,NORTHSIDE ,520,"Water problem, other",0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
03/29/2013,152,13088152,03/29/2013 02:50:00 PM,03/29/2013 03:07:00 PM,450 DAYTON ST,,WEST  END ,400,"Hazardous condition, other",0,1,4,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
05/03/2013,59,13123059,05/03/2013 10:24:00 AM,05/03/2013 10:32:00 AM,5322 EASTKNOLL CT,22,MOUNT AIRY,511,Lock-out,0,1,4,0,,0,0,1,"CINC 45239
(39.20625963100008, -84.57852697299995)"
10/03/2013,130,13276130,10/03/2013 01:50:00 PM,10/03/2013 02:01:00 PM,5500 WOOSTER RD,,LINWOOD   ,745,"Alarm system activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45226
(39.11761717400003, -84.43167882299997)"
03/01/2013,275,13060275,03/01/2013 11:42:00 PM,03/02/2013 12:02:00 AM,716 MAIN ST,,C. B. D. /,735,Alarm system sounded due to malfunction,0,3,9,0,0,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
08/12/2013,128,13224128,08/12/2013 03:28:00 PM,08/12/2013 03:43:00 PM,5512 EVERGREEN RIDGE DR,,HARTWELL  ,651,"Smoke scare, odor of smoke",0,1,4,0,0,0,0,1,"CINCINNATI 45216
(39.19856897100004, -84.47975630799993)"
01/04/2013,53,13004053,01/04/2013 09:42:00 AM,01/04/2013 10:00:00 AM,2500 KEMPER LN,,WALNUT HIL,911,Citizen complaint,0,1,4,0,,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
06/08/2013,149,13159149,06/08/2013 07:12:00 PM,06/08/2013 07:22:00 PM,914 EATONDALE DR,,SEDAMSVILL,561,Unauthorized burning,0,1,4,0,,0,0,1,"CINC 45204
(39.09223799700004, -84.56303702899999)"
02/19/2013,155,13050155,02/19/2013 03:02:00 PM,02/19/2013 03:14:00 PM,4855 GLENWAY AV,,WEST PRICE,600,"Good intent call, other",0,2,3,0,,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
07/13/2013,191,13194191,07/13/2013 09:21:00 PM,07/13/2013 09:36:00 PM,1906 SAVANNAH WY,,COLLEGE  H,511,Lock-out,0,1,4,0,,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
09/07/2013,67,13250067,09/07/2013 09:48:00 AM,09/07/2013 09:59:00 AM,3088 MADISON RD,,OAKLEY    ,600,"Good intent call, other",0,3,9,0,,0,0,1,"CINC 45209
(39.15225990300007, -84.42664730599995)"
10/07/2013,75,13280075,10/07/2013 11:57:00 AM,10/07/2013 12:11:00 PM,1517 RUTH AV,,EVANSTON  ,911,Citizen complaint,0,2,8,0,0,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
02/02/2013,143,13033143,02/02/2013 05:51:00 PM,02/02/2013 06:06:00 PM,3631 IRVING ST,,AVONDALE  ,331,"Lock-in (if lock out , use 511 )",0,1,4,0,,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
05/26/2013,207,13146207,05/26/2013 11:16:00 PM,05/26/2013 11:23:00 PM,201 KLOTTER AV,,FAIRVIEW  ,412,Gas leak (natural gas or LPG),0,3,9,0,,0,0,1,"CINC 45210
(39.58986157800007, -89.65489696199995)"
12/05/2013,90,13339090,12/05/2013 11:12:00 AM,12/05/2013 11:24:00 AM,424 FINDLAY ST,,WEST  END ,740,"Unintentional transmission of alarm, other",0,2,8,0,,0,0,1,"CINC 45214
(39.12068909300007, -84.53739715099994)"
06/29/2013,89,13180089,06/29/2013 12:51:00 PM,06/29/2013 01:16:00 PM,5057 WOOSTER RD,,LINWOOD   ,511,Lock-out,0,1,4,0,,0,0,1,"CINC 45226
(39.11761717400003, -84.43167882299997)"
05/10/2013,162,13130162,05/10/2013 05:53:00 PM,05/10/2013 06:04:00 PM,5469 KIRBY AV,10,MOUNT AIRY,600,"Good intent call, other",0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
09/21/2013,188,13264188,09/21/2013 08:39:00 PM,09/21/2013 08:51:00 PM,1601 MAIN ST,,OVER-THE-R,740,"Unintentional transmission of alarm, other",0,2,8,0,,0,0,1,"CINC 45211
(39.152816063000046, -84.60056918599997)"
07/19/2013,171,13200171,07/19/2013 05:55:00 PM,07/19/2013 06:14:00 PM,330 FOREST AV,308,AVONDALE  ,911,Citizen complaint,0,1,4,0,,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
11/13/2013,80,13317080,11/13/2013 12:14:00 PM,11/13/2013 12:36:00 PM,2420 HARRISON AV,,WESTWOOD  ,700,"False alarm or false call, other",0,2,8,0,,0,0,1,"CINC 45214
(39.12068909300007, -84.53739715099994)"
05/31/2013,186,13151186,05/31/2013 08:04:00 PM,05/31/2013 08:20:00 PM,1038 ACADEMY AV,,WEST PRICE,561,Unauthorized burning,0,1,4,0,,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
12/02/2013,194,13336194,12/02/2013 09:20:00 PM,12/02/2013 11:29:00 PM,3926 CLEROSE CR ,,WEST PRICE,111,Fire - Building,0,14,38,1,2,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
01/16/2013,190,13016190,01/16/2013 04:51:00 PM,01/16/2013 05:00:00 PM,311 STRAIGHT ST,,FAIRVIEW  ,651,"Smoke scare, odor of smoke",0,2,8,0,0,0,0,1,"CINC 45220
(39.143209256000034, -84.52157698599996)"
06/07/2013,101,13158101,06/07/2013 12:03:00 PM,06/07/2013 12:20:00 PM,800 EVANS ST,,LOWER PRIC,553,Public service,0,2,8,0,,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
03/21/2013,244,13080244,03/21/2013 08:33:00 PM,03/21/2013 08:51:00 PM,1000 SYCAMORE ST,,C. B. D. /,353,Removal of victim(s) from stalled elevator,0,2,8,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
01/29/2013,242,13029242,01/29/2013 07:51:00 PM,01/29/2013 09:19:00 PM,2327 KEMPER LN,,WALNUT HIL,131,Passenger vehicle fire,0,2,5,0,,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
09/25/2013,169,13268169,09/25/2013 07:27:00 PM,09/25/2013 07:49:00 PM,5201 WARD ST,,MADISONVIL,552,Police matter,0,10,32,1,2,0,0,1,"CINC 45227
(39.15418908500004, -84.38997980499994)"
09/01/2013,55,13244055,09/01/2013 09:03:00 AM,09/01/2013 09:25:00 AM,615 CLINTON SPRINGS AV,,NORTH AVON,733,Smoke detector activation due to malfunction,0,1,4,0,0,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
11/08/2013,166,13312166,11/08/2013 11:22:00 PM,11/08/2013 11:50:00 PM,2586 LAFEUILLE AV,,WESTWOOD  ,651,"Smoke scare, odor of smoke",0,1,4,0,,0,0,1,"CINC 45211
(39.152816063000046, -84.60056918599997)"
05/03/2013,84,13123084,05/03/2013 12:29:00 PM,05/03/2013 12:42:00 PM,750 MT HOPE AV,,EAST PRICE,651,"Smoke scare, odor of smoke",0,1,4,0,,0,0,1,"CINC 45204
(39.09223799700004, -84.56303702899999)"
05/31/2013,130,13151130,05/31/2013 03:37:00 PM,05/31/2013 03:55:00 PM,5406 WINNESTE AV,,Winton Hil,331,"Lock-in (if lock out , use 511 )",0,1,4,0,,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
09/14/2013,195,13257195,09/14/2013 09:57:00 PM,09/14/2013 10:06:00 PM,1519 NORTH BEND RD,,COLLEGE  H,653,"Smoke from barbecue, tar kettle",0,1,4,0,,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
04/02/2013,2,13092002,04/02/2013 12:03:00 AM,04/02/2013 12:30:00 AM,2702 TOWER DR,,WESTWOOD  ,353,Removal of victim(s) from stalled elevator,0,2,8,0,,0,0,1,"CINC 45211
(39.152816063000046, -84.60056918599997)"
06/07/2013,162,13158162,06/07/2013 05:57:00 PM,06/07/2013 06:08:00 PM,787 GREENWOOD AV,,NORTH AVON,745,"Alarm system activation, no fire - unintentional",0,1,4,0,0,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
03/29/2013,44,13088044,03/29/2013 09:47:00 AM,03/29/2013 09:52:00 AM,1046 KREIS LN,2,WEST PRICE,743,"Smoke detector activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
07/15/2013,47,13196047,07/15/2013 07:10:00 AM,07/15/2013 07:19:00 AM,2931 SCIOTO LN UC ,STAR,CLIFTON/UN,743,"Smoke detector activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45220
(39.143209256000034, -84.52157698599996)"
06/05/2013,140,13156140,06/05/2013 04:43:00 PM,06/05/2013 04:50:00 PM,2867 STANTON AV,,WALNUT HIL,561,Unauthorized burning,0,1,4,0,,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
03/20/2013,189,13079189,03/20/2013 04:56:00 PM,03/20/2013 05:06:00 PM,2800 GILBERT AV,5,WALNUT HIL,600,"Good intent call, other",0,1,4,0,,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
08/30/2013,36,13242036,08/30/2013 07:22:00 AM,08/30/2013 07:37:00 AM,5212 RAVENNA ST,,MADISONVIL,151,"Outside rubbish, trash or waste fire",0,1,4,0,,0,0,1,"CINC 45227
(39.15418908500004, -84.38997980499994)"
12/27/2013,170,13361170,12/27/2013 09:09:00 PM,12/27/2013 09:16:00 PM,4549 MIDLAND AV,,WEST PRICE,600,"Good intent call, other",0,1,4,0,,0,0,1,"CINC 45238
(39.11445835500007, -84.60720835499995)"
03/09/2013,18,13068018,03/09/2013 02:24:00 AM,03/09/2013 02:39:00 AM,1519 CHASE AV,,NORTHSIDE ,730,"System malfunction, other",0,2,8,0,0,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
05/22/2013,198,13142198,05/22/2013 07:54:00 PM,05/22/2013 08:04:00 PM,800 HUTCHINS AV,,AVONDALE  ,600,"Good intent call, other",0,1,4,0,,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
11/21/2013,95,13325095,11/21/2013 01:31:00 PM,11/21/2013 01:42:00 PM,4777 KENARD AV,,Spring Gro,651,"Smoke scare, odor of smoke",0,4,11,0,0,0,0,1,"CINC 45232
(39.17969861200004, -84.51558956899999)"
06/03/2013,135,13154135,06/03/2013 05:58:00 PM,06/03/2013 06:26:00 PM,3310 RUTHER AV,,CLIFTON   ,745,"Alarm system activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45220
(39.143209256000034, -84.52157698599996)"
05/31/2013,173,13151173,05/31/2013 07:02:00 PM,05/31/2013 07:38:00 PM,1800 WESTWOOD NORTHERN BV,,MILLVALE  ,322,Motor vehicle accident with injuries,0,2,6,0,,0,0,1,"CINC 45225
(39.14027637700008, -84.54955882199994)"
08/19/2013,53,13231053,08/19/2013 09:13:00 AM,08/19/2013 10:18:00 AM,2123 AUBURN AV,,MOUNT  AUB,111,Fire - Building,0,11,36,1,2,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
01/24/2013,89,13024089,01/24/2013 10:59:00 AM,01/24/2013 11:12:00 AM,1715 MONTEREY CT,,NORTHSIDE ,445,"Arcing, shorted electrical equipment",0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
02/22/2013,274,13053274,02/22/2013 06:33:00 PM,02/22/2013 06:54:00 PM,0 BRUCE AV,,NORTHSIDE ,651,"Smoke scare, odor of smoke",0,3,9,0,0,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
01/14/2013,140,13014140,01/14/2013 04:36:00 PM,01/14/2013 04:52:00 PM,6705 LEEDS LANE,,HARTWELL  ,440,"Electrical  wiring/equipment problem, other",0,2,8,0,0,0,0,1,"Cincinnati 45216
(39.19856897100004, -84.47975630799993)"
10/24/2013,133,13297133,10/24/2013 04:04:00 PM,10/24/2013 04:25:00 PM,900 RUE DE LA PAIX ST,707,CLIFTON   ,743,"Smoke detector activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
06/02/2013,153,13153153,06/02/2013 08:04:00 PM,06/02/2013 08:17:00 PM,418 ELBERON AV,,EAST PRICE,651,"Smoke scare, odor of smoke",0,1,4,0,,0,0,1,"CINC 45204
(39.09223799700004, -84.56303702899999)"
08/28/2013,196,13240196,08/28/2013 06:20:00 PM,08/28/2013 06:52:00 PM,335 ROCKDALE AV,,AVONDALE  ,651,"Smoke scare, odor of smoke",0,11,36,1,2,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
12/19/2013,210,13353210,12/19/2013 10:25:00 PM,12/19/2013 10:31:00 PM,0 APPLE ST,,NORTHSIDE ,622,No incident found on arrival at dispatch address,0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
02/07/2013,149,13038149,02/07/2013 02:50:00 PM,02/07/2013 03:01:00 PM,151 GALBRAITH RD,,HARTWELL  ,735,Alarm system sounded due to malfunction,0,3,9,0,,0,0,1,"CINC 45215
(39.23246870400004, -84.45845709099996)"
05/25/2013,152,13145152,05/25/2013 06:01:00 PM,05/25/2013 07:45:00 PM,3817 PACIFIC AV,,EVANSTON  ,721,Bomb scare - no bomb,0,6,19,0,,0,0,1,"CINC 45207
(39.14263571500004, -84.47276953999994)"
03/02/2013,55,13061055,03/02/2013 09:00:00 AM,03/02/2013 11:04:00 AM,0 6TH ST,,C. B. D. /,721,Bomb scare - no bomb,0,5,15,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
01/29/2013,164,13029164,01/29/2013 03:43:00 PM,01/29/2013 04:55:00 PM,1846 CHASE AV,C2,NORTHSIDE ,511,Lock-out,0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
08/04/2013,33,13216033,08/04/2013 03:35:00 AM,08/04/2013 03:47:00 AM,1930 NORTHCUT AV,,BONDHILL  ,736,CO detector activation due to malfunction,0,1,4,0,,0,0,1,"CINC 45238
(39.11445835500007, -84.60720835499995)"
08/22/2013,255,13234255,08/22/2013 11:34:00 PM,08/22/2013 11:56:00 PM,4835 PARA DR,,BONDHILL  ,730,"System malfunction, other",0,3,12,0,,0,0,1,"CINC 45237
(39.19171689800004, -84.45486811699999)"
07/20/2013,136,13201136,07/20/2013 04:35:00 PM,07/20/2013 04:48:00 PM,0 DANA AV,,NORTH AVON,600,"Good intent call, other",0,1,4,0,,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
05/04/2013,89,13124089,05/04/2013 12:39:00 PM,05/04/2013 12:59:00 PM,1845 JOSEPHINE ST,,MOUNT  AUB,745,"Alarm system activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
05/21/2013,171,13141171,05/21/2013 08:20:00 PM,05/21/2013 09:07:00 PM,2540 CORBETT DR UC ,,CLIFTON/UN,743,"Smoke detector activation, no fire - unintentional",0,3,12,0,,0,0,1,"CINC 45221
(39.131816652000055, -84.51448593699996)"
04/06/2013,215,13096215,04/06/2013 06:59:00 PM,04/06/2013 07:21:00 PM,3181 LINWOOD AV,,MT.  LOOKO,442,Overheated motor,0,10,32,1,2,9,29,1,"CINC 45208
(39.13723921900004, -84.43727953499996)"
08/11/2013,209,13223209,08/11/2013 09:44:00 PM,08/11/2013 09:52:00 PM,3613 READING RD,,NORTH AVON,600,"Good intent call, other",0,1,4,0,,0,0,1,"CINC 45227
(39.15418908500004, -84.38997980499994)"
10/11/2013,100,13284100,10/11/2013 02:20:00 PM,10/11/2013 02:40:00 PM,2719 WAGNER ST,,CLIFTON/UN,500,"Service Call, other",0,1,4,0,,0,0,1,"CINC 45225
(39.14027637700008, -84.54955882199994)"
12/21/2013,129,13355129,12/21/2013 04:09:00 PM,12/21/2013 04:21:00 PM,400 PIKE ST,,C. B. D. /,730,"System malfunction, other",0,2,8,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
02/17/2013,92,13048092,02/17/2013 01:42:00 PM,02/17/2013 01:54:00 PM,15 6TH ST,,C. B. D. /,735,Alarm system sounded due to malfunction,0,3,9,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
06/20/2013,108,13171108,06/20/2013 02:49:00 PM,06/20/2013 03:02:00 PM,2633 GILBERT AV,,WALNUT HIL,740,"Unintentional transmission of alarm, other",0,2,8,0,,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
10/21/2013,58,13294058,10/21/2013 09:16:00 AM,10/21/2013 09:41:00 AM,3237 EDEN AV,,CORRYVILLE,700,"False alarm or false call, other",0,8,29,1,2,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
01/13/2013,161,13013161,01/13/2013 07:17:00 PM,01/13/2013 07:38:00 PM,2951 8TH ST,,EAST PRICE,444,Power line down,0,0,,0,,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
05/07/2013,28,13127028,05/07/2013 06:26:00 AM,05/07/2013 06:33:00 AM,3418 READING RD,,AVONDALE  ,735,Alarm system sounded due to malfunction,0,2,8,0,,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
05/27/2013,175,13147175,05/27/2013 09:06:00 PM,05/27/2013 09:27:00 PM,4923 HAWAIIAN TE,,MOUNT AIRY,118,"Trash or rubbish fire, contained",0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
01/03/2013,186,13003186,01/03/2013 10:34:00 PM,01/04/2013 01:32:00 AM,1527 VINE ST,,OVER-THE-R,111,Fire - Building,0,10,32,0,,0,0,1,"CINC 45211
(39.152816063000046, -84.60056918599997)"
02/15/2013,118,13046118,02/15/2013 02:45:00 PM,02/15/2013 04:40:00 PM,1933 STATE AV,,LOWER PRIC,111,Fire - Building,0,12,36,1,2,0,0,1,"CINC 45214
(39.12068909300007, -84.53739715099994)"
04/16/2013,42,13106042,04/16/2013 06:44:00 AM,04/16/2013 07:37:00 AM,6390 GRACELY DR,,SAYLER  PA,331,"Lock-in (if lock out , use 511 )",0,1,4,0,,0,0,1,"CINC 45233
(39.117439029000025, -84.66619614899997)"
11/28/2013,80,13332080,11/28/2013 01:13:00 PM,11/28/2013 01:27:00 PM,1178 CHEREVILLA LN,,WEST PRICE,651,"Smoke scare, odor of smoke",0,2,8,0,,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
08/01/2013,131,13213131,08/01/2013 05:54:00 PM,08/01/2013 06:07:00 PM,5950 Hillside,,SAYLER  PA,621,Wrong location,0,1,4,0,,0,0,1,"CINC 45233
(39.117439029000025, -84.66619614899997)"
09/12/2013,213,13255213,09/12/2013 06:42:00 PM,09/12/2013 06:59:00 PM,21 WEEBETOOK LN,,HYDE PARK ,700,"False alarm or false call, other",0,2,8,0,,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
03/07/2013,38,13066038,03/07/2013 08:18:00 AM,03/07/2013 08:31:00 AM,954 MCMILLAN ST,,WALNUT HIL,600,"Good intent call, other",0,3,12,0,,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
01/30/2013,216,13030216,01/30/2013 10:29:00 PM,01/30/2013 10:47:00 PM,1710 BRUCE AV,,NORTHSIDE ,730,"System malfunction, other",0,1,4,0,0,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
04/29/2013,215,13119215,04/29/2013 10:46:00 PM,04/29/2013 10:52:00 PM,5755 WINTROP AV,,COLLEGE  H,730,"System malfunction, other",0,2,8,0,,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
06/22/2013,25,13173025,06/22/2013 04:12:00 AM,06/22/2013 04:37:00 AM,6616 BEECHMONT AV,,MT.  WASHI,730,"System malfunction, other",0,2,8,0,,0,0,1,"CINC 45230
(39.08154928300007, -84.38464848299998)"
