REQUESTID,STRSEGID,REQUESTTYP,Request type cleaned,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,STRSEGID,Additional_COMMENTS,,,,,,,,,,,,,
6,3275178531032761205201,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"The marked crosswalk is not under a streetlight, but between two lights, which puts it in a ""blind spot"".",drives,WOOLPER AV & MCALPIN AV,McAlpin Av,Clifton,3275178531032761205201,I agree,,,,,,,,,,,,,
6,3275178531032761205201,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"The marked crosswalk is not under a streetlight, but between two lights, which puts it in a ""blind spot"".",drives,WOOLPER AV & MCALPIN AV,McAlpin Av,Clifton,3275178531032761205201,"I agree, this is a really dangerous place to cross, and it is crossed by a lot of pedestrians all year long.",,,,,,,,,,,,,
6,3275178531032761205201,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"The marked crosswalk is not under a streetlight, but between two lights, which puts it in a ""blind spot"".",drives,WOOLPER AV & MCALPIN AV,McAlpin Av,Clifton,3275178531032761205201,People going north and south on Clifton regularly run the light making it a very dangerous intersection for both pedestrians as well as vehicles turning ontoClifton from Middleton. Add the school traffic and a second school to be added to the mix....,,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,"Agreed. Speeding here, so close to the intersection is just stupid. Sidewalk is so close to road with drivers barreling along. Police enforcement or at least a tall curb would help a lot.",,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,Agree!!,,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,"Agreed, this is still a dangerous cross-walk.  Sometimes even if a car stops others will try to go around!  Other cities use pedestrian-activated RED LIGHTS or flashing lights.  Police enforcement.  Anything.  Cars are not stopping",,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,"Yes, this is the worst stretch of Observatory. It's full-tilt by drivers. Very small physical distance between street and sidewalk. It's hellish for those on foot.",,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,I agree 100%. I work in Hyde Park and find myself crossing at this spot several times a week and it's terrifying. I have had drivers blow their horns at me. I've seen other cars nearly smash into the backs of cars that are lawfully stopped.,,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,Which street??,,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,Please do not add speed bumps on a major city street. I believe the current crosswalk setup is more than fine and I have never felt unsafe during the many times crossing this street here.,,,,,,,,,,,,,
8,2988295271429883721689,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"Crossing on designated walk from West to East, the Northbound Vehicles on Kirby are only visible in the middle of the intersection. 
This needs a roundabout.",walks,KIRBY AV & BRUCE AV,Kirby Av,Northside,2988295271429883721689,I mean at Bruce!,,,,,,,,,,,,,
8,2988295271429883721689,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"Crossing on designated walk from West to East, the Northbound Vehicles on Kirby are only visible in the middle of the intersection. 
This needs a roundabout.",walks,KIRBY AV & BRUCE AV,Kirby Av,Northside,2988295271429883721689,Or a stop sign going north at Pullan.,,,,,,,,,,,,,
9,3315247840033153148042,Other,Other,2/7/2018,Wed,"the parking spots for the permit center at 805 central centennial 2 are very dangerous.
You have to pull into the spots nose first at an angle, when backing out, you are totally blind if there is another car parked next to you.",drives,CENTRAL AV & W 8TH ST,Central Av,West End,3315247840033153148042,"Continuation of previous comment....
people are backing out into an active lane of traffic totally blinded by the cars parked next to them.",,,,,,,,,,,,,
9,3315247840033153148042,Other,Other,2/7/2018,Wed,"the parking spots for the permit center at 805 central centennial 2 are very dangerous.
You have to pull into the spots nose first at an angle, when backing out, you are totally blind if there is another car parked next to you.",drives,CENTRAL AV & W 8TH ST,Central Av,West End,3315247840033153148042,"No large vehicles should be allowed to park in the first 2-3 spots near the crosswalk due to pedestrian safety concerns, causes blind spots.",,,,,,,,,,,,,
9,3315247840033153148042,Other,Other,2/7/2018,Wed,"the parking spots for the permit center at 805 central centennial 2 are very dangerous.
You have to pull into the spots nose first at an angle, when backing out, you are totally blind if there is another car parked next to you.",drives,CENTRAL AV & W 8TH ST,Central Av,West End,3315247840033153148042,There have been accidents due to the backing out.,,,,,,,,,,,,,
10,3388570073933886361744,Long wait for walk signal,Long wait for walk signal,2/7/2018,Wed,Must push button to cross Vine Street and cars turning on to Vine Street do not see pedestrians crossing. I have almost been hit by cars crossing as a pedestrian multiple times.,walks,VINE ST & NIXON ST,Vine St,Corryville,3388570073933886361744,I agree! This intersection isn't pedestrian-friendly at all.,,,,,,,,,,,,,
10,3388570073933886361744,Long wait for walk signal,Long wait for walk signal,2/7/2018,Wed,Must push button to cross Vine Street and cars turning on to Vine Street do not see pedestrians crossing. I have almost been hit by cars crossing as a pedestrian multiple times.,walks,VINE ST & NIXON ST,Vine St,Corryville,3388570073933886361744,"I have been using this intersection on a daily basis for 10+ years. I have had at least 7 close calls, including one white box van completely blowing through a red light and honking at me to get out of the cross walk. I have also kicked two cars.",,,,,,,,,,,,,
11,3388597991833887619909,Speeding,Speeding,2/7/2018,Wed,The ramps onto Vine Street at this intersection and at Jefferson are terrible for pedestrians. Cars go too fast and have limited visibility.,walks,VINE ST & JEFFERSON AV,E Martin Luther King Jr Dr,CUF,3388597991833887619909,Agree. People run this light and almost hit other cars and pedestrians almost once a week,,,,,,,,,,,,,
11,3388597991833887619909,Speeding,Speeding,2/7/2018,Wed,The ramps onto Vine Street at this intersection and at Jefferson are terrible for pedestrians. Cars go too fast and have limited visibility.,walks,VINE ST & JEFFERSON AV,E Martin Luther King Jr Dr,CUF,3388597991833887619909,I agree,,,,,,,,,,,,,
11,3388597991833887619909,Speeding,Speeding,2/7/2018,Wed,The ramps onto Vine Street at this intersection and at Jefferson are terrible for pedestrians. Cars go too fast and have limited visibility.,walks,VINE ST & JEFFERSON AV,E Martin Luther King Jr Dr,CUF,3388597991833887619909,I second this all the way!,,,,,,,,,,,,,
12,3389718039633897861051,Long wait for walk signal,Long wait for walk signal,2/7/2018,Wed,It is very frustrating that there is only one east-west crosswalk (on the north side of intersection). Cars speed through here and have limited visibility when turning.,walks,EDEN AV & GOODMAN ST,Eden Av,Corryville,3389718039633897861051,,,,,,,,,,,,,,
13,3273599531032751785490,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,MIDDLETON AV & MCALPIN AV,McAlpin Av,Clifton,3273599531032751785490,Agree. Daily as a nearby resident I watch multiple autos on a daily basis run this stop sign.,,,,,,,,,,,,,
13,3273599531032751785490,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,MIDDLETON AV & MCALPIN AV,McAlpin Av,Clifton,3273599531032751785490,Agreed,,,,,,,,,,,,,
13,3273599531032751785490,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,MIDDLETON AV & MCALPIN AV,McAlpin Av,Clifton,3273599531032751785490,Cars do not stop at  stop sign and do not yield to pedestrians,,,,,,,,,,,,,
13,3273599531032751785490,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,MIDDLETON AV & MCALPIN AV,McAlpin Av,Clifton,3273599531032751785490,I agree with this,,,,,,,,,,,,,
14,3306957238633072832004,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"Despite existing crosswalks west of Lang and east of Walnut on McMicken, the majority of walkers down Lang actually cross between the east side of Lang and the west side of Walnut to cut the corner and its dangerous from left turning cars from Lang.",walks,LANG ST & WALNUT ST,E McMicken Av,Over-the-Rhine,3306957238633072832004,,,,,,,,,,,,,,
