"ix","iy","cell_id","lat","long","State","County","City","Name","RegionID"
18,10,180010,39.0714263008648,-84.4082361021567,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
19,10,190010,39.0714288291291,-84.4104953106754,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
20,10,200010,39.0714313138027,-84.4127545193545,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
21,10,210010,39.0714337548857,-84.4150137281913,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
22,10,220010,39.0714361523781,-84.417272937183,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
23,10,230010,39.0714385062798,-84.4195321463268,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
24,10,240010,39.0714408165909,-84.4217913556199,"OH","Hamilton","Cincinnati","California","199824"
25,10,250010,39.0714430833113,-84.4240505650596,"OH","Hamilton","Cincinnati","California","199824"
26,10,260010,39.071445306441,-84.4263097746429,"OH","Hamilton","Cincinnati","California","199824"
27,10,270010,39.07144748598,-84.4285689843672,"OH","Hamilton","Cincinnati","California","199824"
28,10,280010,39.0714496219284,-84.4308281942297,"OH","Hamilton","Cincinnati","California","199824"
19,11,190011,39.0736788300165,-84.4104953106676,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
20,11,200011,39.0736813147311,-84.4127545193465,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
21,11,210011,39.0736837558544,-84.4150137281832,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
22,11,220011,39.0736861533863,-84.4172729371747,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
23,11,230011,39.0736885073268,-84.4195321463184,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
24,11,240011,39.073690817676,-84.4217913556113,"OH","Hamilton","Cincinnati","California","199824"
25,11,250011,39.0736930844337,-84.4240505650509,"OH","Hamilton","Cincinnati","California","199824"
26,11,260011,39.0736953076001,-84.4263097746341,"OH","Hamilton","Cincinnati","California","199824"
27,11,270011,39.0736974871751,-84.4285689843584,"OH","Hamilton","Cincinnati","East End","273544"
28,11,280011,39.0736996231586,-84.4308281942207,"OH","Hamilton","Cincinnati","East End","273544"
29,11,290011,39.0737017155508,-84.4330874042185,"OH","Hamilton","Cincinnati","California","199824"
105,11,1050011,39.0737331886165,-84.6047875478002,"OH","Hamilton","Cincinnati","Riverside","203181"
106,11,1060011,39.0737319244617,-84.6070467598397,"OH","Hamilton","Cincinnati","Riverside","203181"
107,11,1070011,39.0737306167155,-84.6093059717968,"OH","Hamilton","Cincinnati","Riverside","203181"
108,11,1080011,39.0737292653777,-84.6115651836687,"OH","Hamilton","Cincinnati","Riverside","203181"
109,11,1090011,39.0737278704485,-84.6138243954528,"OH","Hamilton","Cincinnati","Riverside","203181"
110,11,1100011,39.0737264319278,-84.6160836071462,"OH","Hamilton","Cincinnati","Riverside","203181"
111,11,1110011,39.0737249498156,-84.618342818746,"OH","Hamilton","Cincinnati","Riverside","203181"
112,11,1120011,39.0737234241119,-84.6206020302496,"OH","Hamilton","Cincinnati","Riverside","203181"
2,12,20012,39.0758799204781,-84.3720887899555,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
3,12,30012,39.0758831462979,-84.3743479955261,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
20,12,200012,39.0759313156592,-84.4127545193385,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
21,12,210012,39.0759337568227,-84.415013728175,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
22,12,220012,39.0759361543941,-84.4172729371664,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
23,12,230012,39.0759385083734,-84.4195321463099,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
24,12,240012,39.0759408187606,-84.4217913556028,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
25,12,250012,39.0759430855558,-84.4240505650422,"OH","Hamilton","Cincinnati","California","199824"
26,12,260012,39.0759453087588,-84.4263097746254,"OH","Hamilton","Cincinnati","East End","273544"
27,12,270012,39.0759474883697,-84.4285689843495,"OH","Hamilton","Cincinnati","East End","273544"
28,12,280012,39.0759496243884,-84.4308281942118,"OH","Hamilton","Cincinnati","East End","273544"
102,12,1020012,39.0759867213728,-84.5980099112202,"OH","Hamilton","Cincinnati","Riverside","203181"
103,12,1030012,39.0759855879739,-84.6002691234901,"OH","Hamilton","Cincinnati","Riverside","203181"
104,12,1040012,39.0759844109827,-84.602528335686,"OH","Hamilton","Cincinnati","Riverside","203181"
105,12,1050012,39.0759831903994,-84.6047875478051,"OH","Hamilton","Cincinnati","Riverside","203181"
106,12,1060012,39.0759819262238,-84.6070467598447,"OH","Hamilton","Cincinnati","Riverside","203181"
107,12,1070012,39.075980618456,-84.609305971802,"OH","Hamilton","Cincinnati","Riverside","203181"
108,12,1080012,39.075979267096,-84.6115651836741,"OH","Hamilton","Cincinnati","Riverside","203181"
109,12,1090012,39.0759778721438,-84.6138243954583,"OH","Hamilton","Cincinnati","Riverside","203181"
110,12,1100012,39.0759764335994,-84.6160836071517,"OH","Hamilton","Cincinnati","Riverside","203181"
