incident_date,incident_number,cad_number,alarm_date_time,unit_clear_date_time,street_address,apt_suite_number,neighborhood,incident_type_id,incident_type_desc,alarms,suppression_app_count,suppression_per_count,ems_app_count,ems_per_count,other_app_count,other_per_count,incident_closed,Location
12/30/2012,196,12365196,12/30/2012 11:11:00 PM,12/30/2012 11:28:00 PM,416 9TH ST,,WEST  END ,353,Removal of victim(s) from stalled elevator,0,2,8,0,,0,0,1,"CINC 45202
"
12/30/2012,81,12365081,12/30/2012 12:01:00 PM,12/30/2012 12:16:00 PM,2139 AUBURN AV,,MOUNT  AUB,745,"Alarm system activation, no fire - unintentional",0,1,4,0,,0,0,1,"CINC 45219
"
12/30/2012,14,12365014,12/30/2012 01:10:00 AM,12/30/2012 01:28:00 AM,2724 STRATFORD AV,,CLIFTON/UN,743,"Smoke detector activation, no fire - unintentional",0,1,4,0,,0,0,1,"CINC 45220
"
12/30/2012,8,12365008,12/30/2012 12:37:00 AM,12/30/2012 01:05:00 AM,3027 CLEINVIEW AV,,EVANSTON  ,441,"Heat from short circuit (wiring), defective/worn",0,9,28,0,,0,0,1,"CINC 45229
"
12/30/2012,6,12365006,12/30/2012 12:28:00 AM,12/30/2012 12:39:00 AM,700 PETE ROSE WY,,QUEENSGATE,730,"System malfunction, other",0,1,4,0,0,0,0,1,"CINC 45202
"
12/29/2012,25,12364025,12/29/2012 03:20:00 AM,12/29/2012 03:38:00 AM,3321 HACKBERRY ST,,EVANSTON  ,651,"Smoke scare, odor of smoke",0,1,4,0,0,0,0,1,"CINC 45206
"
12/28/2012,174,12363174,12/28/2012 05:54:00 PM,12/28/2012 06:09:00 PM,2925 VERNON PL,,AVONDALE  ,743,"Smoke detector activation, no fire - unintentional",0,1,4,0,,0,0,1,"CINC 45219
"
12/28/2012,165,12363165,12/28/2012 05:03:00 PM,12/28/2012 05:10:00 PM,1725 ATSON LN,,EAST PRICE,730,"System malfunction, other",0,1,4,0,,0,0,1,"CINC 45205
"
12/28/2012,158,12363158,12/28/2012 04:30:00 PM,12/28/2012 04:46:00 PM,6250 CORTELYOU AV,3,PLEASANT R,111,Fire - Building,0,2,8,0,0,0,0,1,"CINC 45213
"
12/28/2012,26,12363026,12/28/2012 03:45:00 AM,12/28/2012 12:52:00 PM,4650 SPRING GROVE ,,Spring Gro,111,Fire - Building,0,28,64,1,2,1,1,1,"CINC 45232
"
12/27/2012,121,12362121,12/27/2012 03:31:00 PM,12/27/2012 03:42:00 PM,210 8TH ST,,C. B. D. /,730,"System malfunction, other",0,1,4,0,,0,0,1,"CINC 45202
"
12/27/2012,69,12362069,12/27/2012 10:49:00 AM,12/27/2012 01:19:00 PM,1012 RAPID AV,,EAST PRICE,111,Fire - Building,0,17,46,1,2,0,0,1,"CINC 45205
"
12/26/2012,91,12361091,12/26/2012 02:09:00 PM,12/26/2012 02:27:00 PM,5628 MONTGOMERY RD,,PLEASANT R,500,"Service Call, other",0,1,4,0,0,0,0,1,"CINC 45212
"
12/26/2012,40,12361040,12/26/2012 08:35:00 AM,12/26/2012 08:45:00 AM,281 FAIRBANKS AV,43,SEDAMSVILL,743,"Smoke detector activation, no fire - unintentional",0,1,4,0,,0,0,1,"CINC 45204
"
12/25/2012,54,12360054,12/25/2012 09:17:00 AM,12/25/2012 09:32:00 AM,3949 COLERAIN AV,,NORTHSIDE ,130,"Mobile property (vehicle) fire, other",0,1,4,0,,0,0,1,"CINC 45238
"
12/25/2012,17,12360017,12/25/2012 12:54:00 AM,12/25/2012 01:08:00 AM,700 PETE ROSE WY,,QUEENSGATE,735,Alarm system sounded due to malfunction,0,1,4,0,,0,0,1,"CINC 45203
"
12/24/2012,165,12359165,12/24/2012 11:12:00 PM,12/24/2012 11:38:00 PM,5465 KIRBY AV,24,MOUNT AIRY,651,"Smoke scare, odor of smoke",0,10,30,0,,0,0,1,"CINC 45224
"
12/24/2012,103,12359103,12/24/2012 03:42:00 PM,12/24/2012 03:48:00 PM,3008 AUTEN AV,,PLEASANT R,730,"System malfunction, other",0,1,4,0,,0,0,1,"CINC 45213
"
12/24/2012,38,12359038,12/24/2012 08:50:00 AM,12/24/2012 09:10:00 AM,862 VENETIAN TE,,COLLEGE  H,600,"Good intent call, other",0,9,28,0,,0,0,1,"CINC 45224
"
12/23/2012,52,12358052,12/23/2012 09:35:00 AM,12/23/2012 09:51:00 AM,4550 KIRBY AV,,NORTHSIDE ,552,Police matter,0,1,4,0,,0,0,1,"CINC 45223
"
12/22/2012,122,12357122,12/22/2012 05:10:00 PM,12/22/2012 05:37:00 PM,6536 BEECHMONT AV,,MT.  WASHI,700,"False alarm or false call, other",0,1,4,0,,0,0,1,"CINC 45230
"
12/22/2012,95,12357095,12/22/2012 01:59:00 PM,12/22/2012 02:06:00 PM,3815 LEDGEWOOD DR,,EVANSTON  ,710,"Malicious, mischievous false call, other",0,2,8,0,,0,0,1,"CINC 45207
"
12/20/2012,251,12355251,12/20/2012 10:18:00 PM,12/21/2012 12:10:00 AM,3423 GRACE AV,,HYDE PARK ,444,Power line down,0,1,4,0,,0,0,1,"CINC 45209
"
12/20/2012,246,12355246,12/20/2012 09:59:00 PM,12/20/2012 10:11:00 PM,1075 ADDICE WY,,COLLEGE  H,444,Power line down,0,1,4,0,,0,0,1,"CINC 45224
"
12/20/2012,215,12355215,12/20/2012 08:06:00 PM,12/20/2012 08:21:00 PM,2330 SPRING GROVE AV,,CAMP  WASH,444,Power line down,0,0,,0,,0,0,1,"CINC 45214
"
12/20/2012,126,12355126,12/20/2012 01:55:00 PM,12/20/2012 02:31:00 PM,0 HOPPLE ST,,MILLVALE  ,322,Motor vehicle accident with injuries,0,3,10,0,,0,0,1,"CINC 45225
"
12/19/2012,89,12354089,12/19/2012 02:34:00 PM,12/19/2012 02:57:00 PM,1551 JONATHAN AV,,EVANSTON  ,324,Motor vehicle accident with no injuries.,0,3,12,0,,0,0,1,"CINC 45229
"
12/18/2012,189,12353189,12/18/2012 10:10:00 PM,12/18/2012 10:37:00 PM,2918 DOUGLAS TE,,PLEASANT R,651,"Smoke scare, odor of smoke",0,9,28,0,,0,0,1,"CINC 45213
"
12/18/2012,143,12353143,12/18/2012 05:43:00 PM,12/18/2012 06:04:00 PM,700 PETE ROSE WY,,QUEENSGATE,735,Alarm system sounded due to malfunction,0,1,4,0,,0,0,1,"CINC 45203
"
12/18/2012,64,12353064,12/18/2012 10:59:00 AM,12/18/2012 11:11:00 AM,240 ALBERT SABIN WY,,CORRYVILLE,745,"Alarm system activation, no fire - unintentional",0,1,4,0,,0,0,1,"CINC 45229
"
12/17/2012,138,12352138,12/17/2012 03:34:00 PM,12/17/2012 03:58:00 PM,2298 QUEEN CITY AV,,SOUTH  FAI,444,Power line down,0,1,4,0,,0,0,1,"CINC 45211
"
12/16/2012,194,12351194,12/16/2012 09:14:00 PM,12/16/2012 09:33:00 PM,312 ELM ST,,C. B. D. /,741,"Sprinkler activation, no fire - unintentional",0,1,4,0,,0,0,1,"CINC 45202
"
12/16/2012,50,12351050,12/16/2012 05:46:00 AM,12/16/2012 05:50:00 AM,312 ELM ST,,C. B. D. /,611,Dispatched & canceled en route,0,2,8,0,,0,0,1,"CINC 45202
"
12/15/2012,145,12350145,12/15/2012 04:24:00 PM,12/15/2012 04:30:00 PM,100 JOE NUXHALL WY,,,730,"System malfunction, other",0,1,4,0,,0,0,1,"CINC 45202
"
12/15/2012,23,12350023,12/15/2012 03:38:00 AM,12/15/2012 03:48:00 AM,2525 VICTORY PY ,,WALNUT HIL,735,Alarm system sounded due to malfunction,0,1,4,0,,0,0,1,"CINC 45206
"
12/14/2012,104,12349104,12/14/2012 02:19:00 PM,12/14/2012 02:31:00 PM,3478 VINE ST,,AVONDALE  ,740,"Unintentional transmission of alarm, other",0,1,4,0,,0,0,1,"CINC 45237
"
12/14/2012,103,12349103,12/14/2012 02:12:00 PM,12/14/2012 05:26:00 PM,3593 VINE ,,CLIFTON   ,111,Fire - Building,0,16,37,1,2,0,0,1,"CINC 45220
"
12/13/2012,202,12348202,12/13/2012 11:43:00 PM,12/13/2012 11:52:00 PM,2204 MILLVALE CT,,MILLVALE  ,700,"False alarm or false call, other",0,1,4,0,,0,0,1,"CINC 45225
"
12/13/2012,201,12348201,12/13/2012 11:42:00 PM,12/13/2012 11:53:00 PM,3655 IRVING ST,,AVONDALE  ,522,Water or steam leak,0,1,4,0,,0,0,1,"CINC 45229
"
12/13/2012,145,12348145,12/13/2012 04:54:00 PM,12/13/2012 05:55:00 PM,225 ORCHARD ST,3,OVER-THE-R,651,"Smoke scare, odor of smoke",0,8,27,0,0,0,0,1,"CINC 45214
"
12/13/2012,142,12348142,12/13/2012 04:35:00 PM,12/13/2012 04:35:00 PM,1999 SUTTER AV,,ENGLISH  W,735,Alarm system sounded due to malfunction,0,1,4,0,,0,0,1,"CINC 45225
"
12/13/2012,48,12348048,12/13/2012 08:42:00 AM,12/13/2012 08:51:00 AM,3710 WESTMONT DR,,WEST PRICE,735,Alarm system sounded due to malfunction,0,1,4,0,,0,0,1,"CINC 45205
"
12/13/2012,40,12348040,12/13/2012 07:58:00 AM,12/13/2012 08:14:00 AM,2911 ALMS PL,,WALNUT HIL,445,"Arcing, shorted electrical equipment",0,9,28,0,,0,0,1,"CINC 45206
"
12/12/2012,229,12347229,12/12/2012 11:40:00 PM,12/13/2012 12:00:00 AM,2766 BAKER AV,,SOUTH  FAI,651,"Smoke scare, odor of smoke",0,9,28,0,,0,0,1,"CINC 45214
"
12/12/2012,30,12347030,12/12/2012 06:13:00 AM,12/12/2012 06:20:00 AM,430 Central ,,QUEENSGATE,600,"Good intent call, other",0,1,4,0,,0,0,1,"CINC 45202
"
12/11/2012,211,12346211,12/11/2012 08:58:00 PM,12/11/2012 09:12:00 PM,427 CRESTLINE AV,,EAST PRICE,651,"Smoke scare, odor of smoke",0,1,4,0,,0,0,1,"CINC 45205
"
12/11/2012,196,12346196,12/11/2012 07:09:00 PM,12/11/2012 07:25:00 PM,2766 UC MAINSTREET UC ,,CLIFTON/UN,733,Smoke detector activation due to malfunction,0,1,4,0,,0,0,1,"CINC 45219
"
12/11/2012,158,12346158,12/11/2012 04:24:00 PM,12/11/2012 04:35:00 PM,0 ELEANOR PL,,MOUNT  AUB,651,"Smoke scare, odor of smoke",0,9,28,0,,0,0,1,"CINC 45219
"
12/11/2012,130,12346130,12/11/2012 02:47:00 PM,12/11/2012 03:08:00 PM,3203 ASHWOOD DR,,PLEASANT R,600,"Good intent call, other",0,3,9,0,,0,0,1,"CINC 45213
"
12/10/2012,200,12345200,12/10/2012 10:57:00 PM,12/10/2012 11:10:00 PM,310 OAK ST,600,CORRYVILLE,651,"Smoke scare, odor of smoke",0,2,6,0,0,0,0,1,"CINC 45219
"
12/10/2012,138,12345138,12/10/2012 05:51:00 PM,12/10/2012 06:06:00 PM,2503 SPRING GROVE AV,,CAMP  WASH,730,"System malfunction, other",0,1,4,0,,0,0,1,"CINC 45225
"
12/10/2012,93,12345093,12/10/2012 01:13:00 PM,12/10/2012 01:34:00 PM,1898 FORK RD,,NORTHSIDE ,500,"Service Call, other",0,1,4,0,,0,0,1,"CINC 45225
"
12/08/2012,98,12343098,12/08/2012 01:31:00 PM,12/08/2012 03:24:00 PM,5008 WILLNET DR,,WEST PRICE,746,"Carbon monoxide detector activation, no CO",0,4,11,1,2,0,0,1,"CINC 45238
"
12/07/2012,200,12342200,12/07/2012 07:14:00 PM,12/07/2012 07:29:00 PM,2814 VINE ST,,CORRYVILLE,600,"Good intent call, other",0,1,2,0,,0,0,1,"CINC 45219
"
12/07/2012,162,12342162,12/07/2012 05:12:00 PM,12/07/2012 05:39:00 PM,2850 CAMPUS WY UC ,,CLIFTON/UN,443,Breakdown of light ballast,0,6,19,0,,0,0,1,"CINC 45219
"
12/07/2012,110,12342110,12/07/2012 01:38:00 PM,12/07/2012 01:54:00 PM,3401 EDWARDS RD,,HYDE PARK ,730,"System malfunction, other",0,1,4,0,,0,0,1,"CINC 45208
"
12/07/2012,67,12342067,12/07/2012 10:15:00 AM,12/07/2012 10:29:00 AM,2503 SPRING GROVE AV,,CAMP  WASH,740,"Unintentional transmission of alarm, other",0,1,4,0,,0,0,1,"CINC 45225
"
12/06/2012,159,12341159,12/06/2012 06:46:00 PM,12/06/2012 07:08:00 PM,1501 ELIZABETH PL,,BONDHILL  ,710,"Malicious, mischievous false call, other",0,1,4,0,,0,0,1,"Cincinnati 45237
"
12/06/2012,82,12341082,12/06/2012 12:32:00 PM,12/06/2012 01:00:00 PM,2349 BROKAW AV,,EAST  WEST,130,"Mobile property (vehicle) fire, other",0,1,4,0,,0,0,1,"CINC 45211
"
