"sum_cost_pedestrian_events","cell_id","num_near_misses","access","dblprk","dnotyld","jywalk","lvisib","lwfws","nobikef","noswlk","other","prkint","prkswlk","speed","vrrlss","wlksig","xwalk","assist","bikes","drives","other.1","walks","n_qst","mean_walk_score","min_walk_score","max_walk_score","num_walk_scores","sum_lane_cnt","sum_width","sum_area","num_streets","num_fire_incd","med_sale_res_y","med_sale_res_n","med_sale_com_y","med_sale_com_n","med_sale_ind_y","med_sale_ind_n","med_sale_pbo_y","med_sale_pbo_n","sum_cost.y","num_events.y","dist","n_object","animals_insects","building.related","construction","food","others","police.property","service.complaint","street_sidewalk","traffic_signal","trash","trees_plants","water.leak","zoning_parking","n_request"
0,210012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,14,154,370244,7,0,161385,129108,0,0,0,0,0,0,0,0,0.0240027996207771,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,161385,129108,0,0,0,0,0,0,52.099,9,0.0237188488611528,6,0,0,0,0,2,0,0,4,0,0,0,0,0,6
0,210014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,161385,129108,0,0,0,0,0,0,0,0,0.0236465262072911,6,0,0,0,0,0,0,0,0,0,4,0,0,0,4
0,210015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,53,563,284640,0,0,161385,129108,0,0,0,0,0,0,0,0,0.023787761995453,6,0,0,0,0,2,0,0,0,0,18,0,0,0,20
0,210016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,132,1188,1411564,44,0,397785,129108,0,0,0,0,0,0,30.246,3,0.0240234824611497,6,0,0,0,0,1,0,0,4,0,4,0,0,0,9
0,210017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,2,24,31692,1,0,161385,129108,0,0,0,0,0,0,0,0,0.0244328401673397,6,0,0,0,0,0,0,0,0,0,7,0,0,0,7
0,210018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,161385,129108,0,0,0,0,0,0,0,0,0.0225626476894084,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.0207679433641011,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.019070051942602,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.0173103761996169,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.015638767163676,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210023,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.0139664229027327,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210024,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.0124770151751604,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210025,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.0110212580901258,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210026,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.00936597992316393,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,210027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.00789054341260473,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210028,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.00653782380630199,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210029,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,95122.5,76098,0,0,0,0,0,0,0,0,0.00442643212521829,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210030,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,127,1413,1349309,59,0,138240,110592,0,0,0,0,0,0,254.256,27,0.002224697008514,12,0,0,0,0,23,0,0,14,0,3,1,0,0,41
0,210031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,31.25,26,33,4,84,853,330193,29,0,51272.5,31344,610000,0,0,0,0,0,617.299,67,0.000655942723463215,12,2,18,0,0,109,1,3,71,0,132,4,0,2,342
0,210032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,44,27,76,3,133,1342,447938,41,0,52882.5,67912,0,0,0,0,0,0,265.532,33,0.00148615727147804,6,2,9,0,0,112,11,5,24,0,132,15,0,0,310
0,210033,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,29,31,2,42,434,540952,19,0,48000,48640,430080,0,0,0,0,0,100.82,10,0.000353346493384496,5,1,17,0,0,34,0,0,15,0,120,3,1,0,191
0,210034,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,29,1,78,789,2065155,26,0,248127,190810,284460,0,0,0,0,0,30.55,4,0.00144925318041277,5,0,5,0,0,16,1,0,4,0,58,3,0,1,88
0,210035,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,19,15,23,2,243,2326,797213,101,0,266158,136526.5,0,0,0,0,0,0,20.164,2,0.00301628694748169,5,0,0,1,0,35,1,5,49,0,169,1,4,0,265
0,210036,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,2,54,594,509329,28,0,650000,261200,0,0,0,0,0,0,30.246,3,0.00484226193665926,5,0,2,0,0,21,0,0,12,0,47,4,0,0,86
0,210037,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,1,206,1898,4115042,56,0,708611,317656.4,0,0,0,0,0,0,10.082,1,0.00692257343822504,5,0,8,0,0,4,0,0,1,0,4,1,0,3,21
0,210038,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,156,1404,3898518,39,0,397070.5,317656.4,0,0,0,0,0,0,10.082,1,0.00908413749233064,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,252,2268,6297606,63,0,397070.5,317656.4,0,0,0,0,0,0,0,0,0.0087542912321793,6,0,0,0,0,1,1,0,0,0,10,0,0,0,12
0,210040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,46,44,48,0,150,1350,3425084,39,0,277137,317656.4,0,0,0,0,0,0,60.492,6,0.00767389291206695,6,1,13,0,0,13,1,0,1,1,55,1,3,0,89
0.304,210041,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,43,43,2,41,382,138626,12,0,317205,391545,471377.5,0,0,0,0,0,192.166,21,0.00715993425229367,6,0,2,0,0,34,4,4,32,1,178,2,0,0,257
0,210042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,52,905,254083,17,0,280887,304036.8,0,0,0,0,0,0,163.327,20,0.00693241412354595,6,0,1,0,3,20,0,1,14,1,27,2,0,0,69
0,210043,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,380046,304036.8,0,0,0,0,0,0,0,0,0.00674482191524962,6,0,0,0,1,2,0,0,7,0,0,1,0,0,11
0,210044,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,380046,304036.8,0,0,0,0,0,0,0,0,0.00650048832141889,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210045,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,380046,304036.8,0,0,0,0,0,0,10.082,1,0.00442701933259187,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,210046,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,4,48,18802,2,0,241791,193432.8,0,0,0,0,0,0,20.164,2,0.00243074990660773,12,0,0,0,0,1,0,0,0,0,12,0,0,0,13
0,210047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,10,112,61510,4,0,201070.5,193432.8,0,0,0,0,0,0,203.633,25,0.00151023024179268,12,0,4,0,0,30,1,3,8,0,93,7,1,2,149
0,210048,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,241791,193432.8,0,0,0,0,0,0,20.164,2,0.00287799535035581,12,0,3,0,0,6,1,0,0,0,0,0,0,0,10
0,210049,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,241791,193432.8,0,0,0,0,0,0,112.005,12,0.00171988136271841,6,0,0,0,0,6,0,0,0,0,0,0,0,0,6
0,210050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,69653.91,55723.128,560681.25,0,400680,0,0,0,368.912,43,0.000707148350403101,6,0,2,0,0,22,0,0,4,0,0,0,0,0,28
0,210051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,69653.91,55723.128,0,0,0,0,0,0,142.533,17,0.00101540826362769,6,0,0,0,0,9,4,0,6,0,0,0,0,0,19
0,210052,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,16,1,101,1115,333346,34,0,67311,33841.3,736450,0,0,0,0,0,172.497,18,0.00116124282921132,6,1,5,1,0,48,0,1,22,0,42,8,1,0,129
0,210053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,2,24,18194,1,0,294945,205314.86,0,0,0,0,0,0,30.246,3,0.00316107697301293,6,1,7,0,0,32,6,0,4,0,81,4,0,1,136
0,210056,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,26,230,55916,13,0,194309.5,52240,0,0,0,0,0,0,73.084,10,0.00187697966041726,6,0,1,0,0,17,0,2,30,0,35,3,2,2,92
0,210057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,36,34,38,2,124,1325,610463,48,0,126210.535,62376,0,0,0,0,0,0,82.367,11,0.000639243060780073,5,0,4,0,0,31,2,2,20,0,111,1,1,0,172
0.304,210058,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,147,1702,923429,54,9,108468.5,21019.13,83200,0,0,0,0,0,215.639,26,0.000454265086159564,6,2,19,1,1,39,8,0,21,0,64,4,3,0,162
1.244,210059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,47,47,1,25,463,129883,12,0,28360.0375,46427,46323.8,45320,0,0,0,0,218.34,27,0.000648438786865463,5,0,40,1,0,65,0,1,20,0,105,17,0,0,249
0,210060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,47.6666666666667,47,48,3,48,511,224793,20,0,48835.5,60591,133315,68232,0,0,0,0,71.019,9,0.000770646101995031,6,1,57,0,0,61,2,1,23,0,175,7,2,2,331
0,210061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,52,2,40,443,144553,18,0,51827.1,73130,104065.5,68634,0,0,0,0,103.634,14,0.000905985213220164,6,4,81,0,0,92,4,3,21,0,254,9,0,0,468
1.103,210062,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,41,446,135187,14,0,74829.7,59863.76,166950,0,0,0,0,0,506.504,63,0.000761002339003433,17,0,29,0,2,77,3,3,22,1,67,2,0,2,208
0,210063,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,42,42,2,7,73,39171,3,0,57940.5,67236,166400,0,0,0,0,0,73.883,10,0.00241039146943795,6,1,8,0,0,41,1,2,3,0,169,6,0,0,231
0,210064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,6,50,39936,2,0,198275,59863.76,0,0,0,0,0,0,60.492,6,0.00435192424590828,17,0,13,0,0,24,0,2,9,1,74,3,0,2,128
0,220004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,126,1218,988120,28,0,90965,72772,0,0,0,0,0,0,110.902,11,0.0340715370357096,6,0,2,0,0,3,0,1,3,0,18,0,0,0,27
0,220005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,90965,72772,0,0,0,0,0,0,82.671,12,0.0326547049260798,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,220006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,90965,72772,0,0,0,0,0,0,20.164,2,0.0313355210702198,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,220007,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,48,0,53,563,284640,0,0,90965,72772,0,0,0,0,0,0,0,0,0.0301268155765441,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
