"ix","iy","cell_id","lat","long"
1,1,"00010001",39.0511266507666,-84.3698295846116
2,1,"00020001",39.0511299195845,-84.3720887899797
3,1,"00030001",39.0511331448184,-84.3743479955556
4,1,"00040001",39.0511363264683,-84.3766072013364
5,1,"00050001",39.0511394645341,-84.3788664073193
6,1,"00060001",39.0511425590159,-84.3811256135017
7,1,"00070001",39.0511456099136,-84.3833848198806
8,1,"00080001",39.0511486172272,-84.3856440264533
9,1,"00090001",39.0511515809568,-84.387903233217
10,1,"00100001",39.0511545011023,-84.3901624401689
11,1,"00110001",39.0511573776637,-84.3924216473063
12,1,"00120001",39.0511602106411,-84.3946808546262
13,1,"00130001",39.0511630000343,-84.3969400621261
14,1,"00140001",39.0511657458434,-84.399199269803
15,1,"00150001",39.0511684480684,-84.4014584776542
16,1,"00160001",39.0511711067093,-84.4037176856769
17,1,"00170001",39.051173721766,-84.4059768938682
18,1,"00180001",39.0511762932386,-84.4082361022255
19,1,"00190001",39.0511788211271,-84.4104953107459
20,1,"00200001",39.0511813054314,-84.4127545194267
21,1,"00210001",39.0511837461515,-84.4150137282649
22,1,"00220001",39.0511861432875,-84.4172729372579
23,1,"00230001",39.0511884968393,-84.419532146403
24,1,"00240001",39.0511908068069,-84.4217913556972
25,1,"00250001",39.0511930731903,-84.4240505651377
26,1,"00260001",39.0511952959896,-84.4263097747219
27,1,"00270001",39.0511974752046,-84.4285689844469
28,1,"00280001",39.0511996108354,-84.4308281943099
29,1,"00290001",39.0512017028821,-84.4330874043082
30,1,"00300001",39.0512037513444,-84.4353466144389
31,1,"00310001",39.0512057562226,-84.4376058246992
32,1,"00320001",39.0512077175166,-84.4398650350865
33,1,"00330001",39.0512096352263,-84.4421242455978
34,1,"00340001",39.0512115093518,-84.4443834562304
35,1,"00350001",39.051213339893,-84.4466426669815
36,1,"00360001",39.05121512685,-84.4489018778484
37,1,"00370001",39.0512168702227,-84.4511610888282
38,1,"00380001",39.0512185700111,-84.4534202999181
39,1,"00390001",39.0512202262154,-84.4556795111154
40,1,"00400001",39.0512218388353,-84.4579387224172
41,1,"00410001",39.0512234078709,-84.4601979338208
42,1,"00420001",39.0512249333223,-84.4624571453234
43,1,"00430001",39.0512264151894,-84.4647163569222
44,1,"00440001",39.0512278534722,-84.4669755686145
45,1,"00450001",39.0512292481707,-84.4692347803973
46,1,"00460001",39.0512305992849,-84.471493992268
47,1,"00470001",39.0512319068149,-84.4737532042237
48,1,"00480001",39.0512331707605,-84.4760124162617
49,1,"00490001",39.0512343911218,-84.4782716283792
50,1,"00500001",39.0512355678988,-84.4805308405733
51,1,"00510001",39.0512367010915,-84.4827900528413
52,1,"00520001",39.0512377906999,-84.4850492651805
53,1,"00530001",39.0512388367239,-84.4873084775879
54,1,"00540001",39.0512398391637,-84.4895676900609
55,1,"00550001",39.0512407980191,-84.4918269025966
56,1,"00560001",39.0512417132902,-84.4940861151923
57,1,"00570001",39.0512425849769,-84.4963453278451
58,1,"00580001",39.0512434130793,-84.4986045405523
59,1,"00590001",39.0512441975974,-84.5008637533111
60,1,"00600001",39.0512449385312,-84.5031229661186
61,1,"00610001",39.0512456358806,-84.5053821789722
62,1,"00620001",39.0512462896457,-84.507641391869
63,1,"00630001",39.0512468998264,-84.5099006048063
64,1,"00640001",39.0512474664228,-84.5121598177812
65,1,"00650001",39.0512479894348,-84.5144190307909
66,1,"00660001",39.0512484688625,-84.5166782438327
67,1,"00670001",39.0512489047059,-84.5189374569038
68,1,"00680001",39.0512492969649,-84.5211966700014
69,1,"00690001",39.0512496456395,-84.5234558831227
70,1,"00700001",39.0512499507298,-84.5257150962649
71,1,"00710001",39.0512502122358,-84.5279743094252
72,1,"00720001",39.0512504301574,-84.5302335226009
