"cell_id","lat","long","kernelized_cost"
240002,39.0534408078956,-84.4217913556886,0.000154279982114716
250002,39.0534430743166,-84.424050565129,0.000154279982114716
230003,39.0556884989399,-84.419532146386,0.000370698228658615
240003,39.055690808984,-84.42179135568,0.000370698228658615
250003,39.0556930754424,-84.4240505651204,0.000154279982114716
260003,39.0556952983152,-84.4263097747044,0.000154279982114716
210004,39.0579337490662,-84.4150137282404,0.000154279982114716
220004,39.0579361463211,-84.417272937233,0.000154279982114716
230004,39.0579384999897,-84.4195321463776,0.000370698228658615
240004,39.0579408100719,-84.4217913556714,0.000370698228658615
250004,39.0579430765678,-84.4240505651117,0.000370698228658615
260004,39.0579452994773,-84.4263097746956,0.000154279982114716
270004,39.0579474788004,-84.4285689844203,0
200005,39.0601813091555,-84.4127545193946,0
210005,39.060183750037,-84.4150137282322,0.000154279982114716
220005,39.0601861473315,-84.4172729372247,0.000154279982114716
230005,39.060188501039,-84.4195321463691,0.000370698228658615
240005,39.0601908111594,-84.4217913556628,0.000370698228658615
250005,39.0601930776927,-84.424050565103,0.000370698228658615
260005,39.060195300639,-84.4263097746868,0.000370698228658615
270005,39.0601974799982,-84.4285689844115,0
190006,39.0624288255759,-84.4104953107068,0
200006,39.0624313100856,-84.4127545193866,0
210006,39.0624337510075,-84.4150137282241,0
220006,39.0624361483416,-84.4172729372163,0.000154279982114716
230006,39.062438502088,-84.4195321463607,0.000370698228658615
240006,39.0624408122465,-84.4217913556542,0.00065554338839217
250006,39.0624430788173,-84.4240505650943,0.00065554338839217
260006,39.0624453018003,-84.426309774678,0.000370698228658615
270006,39.0624474811954,-84.4285689844026,0.000154279982114716
280006,39.0624496170028,-84.4308281942653,0
180007,39.0646762983256,-84.4082361021797,0
190007,39.0646788264647,-84.4104953106989,0
200007,39.0646813110154,-84.4127545193786,0
210007,39.0646837519776,-84.4150137282159,0
220007,39.0646861493513,-84.417272937208,0
230007,39.0646885031365,-84.4195321463522,0.000154279982114716
240007,39.0646908133332,-84.4217913556457,0.000370698228658615
250007,39.0646930799414,-84.4240505650856,0.000370698228658615
260007,39.0646953029611,-84.4263097746692,0.000370698228658615
270007,39.0646974823923,-84.4285689843938,0.000154279982114716
280007,39.0646996182349,-84.4308281942564,0.000154279982114716
170008,39.0669237274022,-84.4059768938162,0
180008,39.0669262991723,-84.408236102172,0
190008,39.0669288273532,-84.4104953106911,0
200008,39.0669313119448,-84.4127545193706,0
210008,39.0669337529473,-84.4150137282077,0
220008,39.0669361503606,-84.4172729371997,0
230008,39.0669385041847,-84.4195321463438,0.000154279982114716
240008,39.0669408144195,-84.4217913556371,0.000370698228658615
250008,39.0669430810651,-84.4240505650769,0.000370698228658615
260008,39.0669453041215,-84.4263097746605,0.000370698228658615
270008,39.0669474835886,-84.4285689843849,0.000154279982114716
280008,39.0669496194665,-84.4308281942475,0
170009,39.0691737282062,-84.4059768938088,0
180009,39.0691763000187,-84.4082361021644,0
190009,39.0691788282413,-84.4104953106832,0
200009,39.069181312874,-84.4127545193626,0
210009,39.0691837539167,-84.4150137281995,0
220009,39.0691861513696,-84.4172729371914,0
230009,39.0691885052325,-84.4195321463353,0
240009,39.0691908155054,-84.4217913556285,0.000154279982114716
250009,39.0691930821884,-84.4240505650683,0.000370698228658615
260009,39.0691953052815,-84.4263097746517,0.000154279982114716
270009,39.0691974847846,-84.4285689843761,0.000154279982114716
280009,39.0691996206977,-84.4308281942386,0
180010,39.0714263008648,-84.4082361021567,0
190010,39.0714288291291,-84.4104953106754,0
200010,39.0714313138027,-84.4127545193545,0
210010,39.0714337548857,-84.4150137281913,0
220010,39.0714361523781,-84.417272937183,0
230010,39.0714385062798,-84.4195321463268,0
240010,39.0714408165909,-84.4217913556199,0
250010,39.0714430833113,-84.4240505650596,0
260010,39.071445306441,-84.4263097746429,0
270010,39.07144748598,-84.4285689843672,0
280010,39.0714496219284,-84.4308281942297,0
190011,39.0736788300165,-84.4104953106676,0
200011,39.0736813147311,-84.4127545193465,0
210011,39.0736837558544,-84.4150137281832,0
220011,39.0736861533863,-84.4172729371747,0
230011,39.0736885073268,-84.4195321463184,0
240011,39.073690817676,-84.4217913556113,0
250011,39.0736930844337,-84.4240505650509,0
260011,39.0736953076001,-84.4263097746341,0
270011,39.0736974871751,-84.4285689843584,0
280011,39.0736996231586,-84.4308281942207,0
290011,39.0737017155508,-84.4330874042185,0
1050011,39.0737331886165,-84.6047875478002,0
1060011,39.0737319244617,-84.6070467598397,0.000154279982114716
1070011,39.0737306167155,-84.6093059717968,0.000154279982114716
1080011,39.0737292653777,-84.6115651836687,0.000154279982114716
1090011,39.0737278704485,-84.6138243954528,0.000154279982114716
1100011,39.0737264319278,-84.6160836071462,0
1110011,39.0737249498156,-84.618342818746,0
1120011,39.0737234241119,-84.6206020302496,0
20012,39.0758799204781,-84.3720887899555,0
30012,39.0758831462979,-84.3743479955261,0
200012,39.0759313156592,-84.4127545193385,0
210012,39.0759337568227,-84.415013728175,0
220012,39.0759361543941,-84.4172729371664,0
230012,39.0759385083734,-84.4195321463099,0
240012,39.0759408187606,-84.4217913556028,0
250012,39.0759430855558,-84.4240505650422,0
260012,39.0759453087588,-84.4263097746254,0
270012,39.0759474883697,-84.4285689843495,0
280012,39.0759496243884,-84.4308281942118,0
1020012,39.0759867213728,-84.5980099112202,0
1030012,39.0759855879739,-84.6002691234901,0
1040012,39.0759844109827,-84.602528335686,0
1050012,39.0759831903994,-84.6047875478051,0.000154279982114716
1060012,39.0759819262238,-84.6070467598447,0.000154279982114716
