OBJECTID,TOWNSHIP,DISTZONE,ZONING,ZONE
130,CINCINNATI,CINCINNATI,RM-2.0,
131,CINCINNATI,CINCINNATI,RM-2.0,
132,CINCINNATI,CINCINNATI,RM-2.0,
133,CINCINNATI,CINCINNATI,MG,
134,CINCINNATI,CINCINNATI,SF-6,
135,CINCINNATI,CINCINNATI,SF-6,
136,CINCINNATI,CINCINNATI,CC-P,
137,CINCINNATI,CINCINNATI,CC-A,
138,CINCINNATI,CINCINNATI,CC-A,
139,CINCINNATI,CINCINNATI,RM-2.0,
140,CINCINNATI,CINCINNATI,SF-2,
167,CINCINNATI,CINCINNATI,SF-6,
168,CINCINNATI,CINCINNATI,CC-P,
169,CINCINNATI,CINCINNATI,RM-1.2,
170,CINCINNATI,CINCINNATI,SF-4,
171,CINCINNATI,CINCINNATI,CN-P,
172,CINCINNATI,CINCINNATI,SF-10,
173,CINCINNATI,CINCINNATI,IR,
174,CINCINNATI,CINCINNATI,RM-2.0,
175,CINCINNATI,CINCINNATI,SF-20,
176,CINCINNATI,CINCINNATI,SF-2,
177,CINCINNATI,CINCINNATI,CC-M,
178,CINCINNATI,CINCINNATI,CC-M,
179,CINCINNATI,CINCINNATI,SF-6,
180,CINCINNATI,CINCINNATI,SF-4,
181,CINCINNATI,CINCINNATI,RM-2.0,
182,CINCINNATI,CINCINNATI,CC-A,
183,CINCINNATI,CINCINNATI,SF-6,
184,CINCINNATI,CINCINNATI,SF-6,
185,CINCINNATI,CINCINNATI,PR,
186,CINCINNATI,CINCINNATI,SF-6,
187,CINCINNATI,CINCINNATI,CN-M,
188,CINCINNATI,CINCINNATI,RM-2.0,
189,CINCINNATI,CINCINNATI,CC-A,
150,CINCINNATI,CINCINNATI,CC-M,
151,CINCINNATI,CINCINNATI,SF-4,
152,CINCINNATI,CINCINNATI,PR,
153,CINCINNATI,CINCINNATI,PR,
154,CINCINNATI,CINCINNATI,RM-2.0,
155,CINCINNATI,CINCINNATI,RMX,
156,CINCINNATI,CINCINNATI,SF-6,
157,CINCINNATI,CINCINNATI,PR,
158,CINCINNATI,CINCINNATI,OG,
159,CINCINNATI,CINCINNATI,PR,
160,CINCINNATI,CINCINNATI,CG-A,
161,CINCINNATI,CINCINNATI,RF-C,
162,CINCINNATI,CINCINNATI,PR,
163,CINCINNATI,CINCINNATI,PR,
164,CINCINNATI,CINCINNATI,PR,
165,CINCINNATI,CINCINNATI,RMX,
166,CINCINNATI,CINCINNATI,OL,
207,CINCINNATI,CINCINNATI,CC-A,
208,CINCINNATI,CINCINNATI,CC-A,
209,CINCINNATI,CINCINNATI,RMX,
210,CINCINNATI,CINCINNATI,SF-6,
211,CINCINNATI,CINCINNATI,RM-1.2,
212,CINCINNATI,CINCINNATI,ML,
213,CINCINNATI,CINCINNATI,SF-6,
214,CINCINNATI,CINCINNATI,RM-1.2,
215,CINCINNATI,CINCINNATI,PR,
216,CINCINNATI,CINCINNATI,MG,
217,CINCINNATI,CINCINNATI,CC-P,
218,CINCINNATI,CINCINNATI,CC-M,
219,CINCINNATI,CINCINNATI,RMX,
220,CINCINNATI,CINCINNATI,OL,
221,CINCINNATI,CINCINNATI,RF-M,
222,CINCINNATI,CINCINNATI,RMX,
