"cell_id","lat_cell","long_cell","access","dblprk","dnotyld","jywalk","lvisib","lwfws","nobikef","noswlk","other","prkint","prkswlk","speed","vrrlss","wlksig","xwalk","assist","bikes","drives","other","walks","n_qst"
110047,39.1546574020975,-84.3924216470382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
110048,39.156907402624,-84.3924216470324,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
110049,39.1591574031503,-84.3924216470266,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,4
110050,39.1614074036764,-84.3924216470208,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
120014,39.0804102181971,-84.3946808545465,0,0,0,0,2,0,0,4,1,1,0,3,0,0,1,0,1,5,0,6,23
120018,39.0894102205146,-84.394680854522,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,3
120019,39.0916602210935,-84.3946808545158,0,0,0,0,2,0,0,2,0,0,0,2,0,0,1,0,1,3,0,3,7
120046,39.1524102366401,-84.3946808543501,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,3
120048,39.1569102377854,-84.3946808543378,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
120049,39.1591602383577,-84.3946808543317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
120052,39.1659102400734,-84.3946808543132,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2
130020,39.0939130119392,-84.396940062004,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,4
130021,39.0961630125634,-84.3969400619976,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,4
130048,39.156913029329,-84.3969400618239,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2
140025,39.1051657619527,-84.3991992696421,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3
160046,39.1524211407539,-84.4037176853525,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,3
160048,39.1569211422536,-84.4037176853381,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
160051,39.163671144501,-84.4037176853165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
170046,39.1524237577415,-84.4059768935337,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,3,4
180050,39.1614263344485,-84.408236101851,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
180051,39.1636763352816,-84.4082361018433,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,4
180053,39.1681763369468,-84.408236101828,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4
180061,39.1861763435952,-84.4082361017668,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
190047,39.1546788617434,-84.4104953103854,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
190060,39.1839288730946,-84.4104953102834,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
200032,39.1209313341475,-84.4127545191782,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
200048,39.1569313488381,-84.4127545190499,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
210031,39.1186837751514,-84.4150137280196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
210032,39.1209337761124,-84.4150137280114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
210035,39.1276837789934,-84.4150137279868,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
210040,39.1389337837877,-84.4150137279459,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
210057,39.1771838000207,-84.4150137278068,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
210060,39.1839338028744,-84.4150137277822,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
220035,39.1276861774695,-84.4172729369748,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,4
220038,39.1344361804646,-84.4172729369498,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
220045,39.15018618744,-84.4172729368915,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,6
220046,39.152436188435,-84.4172729368832,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,3
