"cell_id","lat_cell","long_cell","category","valid_sale","median_sale_price","max_sale_price","num_prop_sales"
920062,39.18849575626,-84.5754177851878,"commercial","N",120320,373890,5
920062,39.18849575626,-84.5754177851878,"commercial","Y",190071,611820,9
920062,39.18849575626,-84.5754177851878,"residential","N",38919.5,74664.7,4
920062,39.18849575626,-84.5754177851878,"residential","Y",30051,57650,7
920063,39.1907457582104,-84.5754177851902,"residential","N",74778,116865,7
920063,39.1907457582104,-84.5754177851902,"residential","Y",103720,182721,18
920064,39.1929957601601,-84.5754177851926,"residential","N",83431.08,83431.08,1
920064,39.1929957601601,-84.5754177851926,"residential","Y",181419,328335,15
920065,39.1952457621091,-84.575417785195,"commercial","Y",185600,185600,1
920065,39.1952457621091,-84.575417785195,"residential","N",67980,77044,3
920065,39.1952457621091,-84.575417785195,"residential","Y",75338.1,143660,12
920066,39.1974957640573,-84.5754177851975,"residential","N",63031.416,73136,3
920066,39.1974957640573,-84.5754177851975,"residential","Y",106240,1977460.721,7
920068,39.2019957679514,-84.5754177852023,"commercial","N",79310,79310,1
920068,39.2019957679514,-84.5754177852023,"commercial","Y",77000,147917,7
920068,39.2019957679514,-84.5754177852023,"residential","N",54852,159875.571,15
920068,39.2019957679514,-84.5754177852023,"residential","Y",48888.95,109905,32
920069,39.2042457698974,-84.5754177852047,"commercial","N",67980,142643.567,10
920069,39.2042457698974,-84.5754177852047,"commercial","Y",64000,165837,25
920069,39.2042457698974,-84.5754177852047,"residential","N",71680,76800,3
920069,39.2042457698974,-84.5754177852047,"residential","Y",39180,1603100,11
930021,39.096244978071,-84.5776769979469,"residential","N",23274,23274,1
930021,39.096244978071,-84.5776769979469,"residential","Y",9795,98780,5
930022,39.0984949800405,-84.5776769979495,"residential","Y",26775,34350,2
930026,39.1074949879112,-84.5776769979601,"commercial","N",66560,66560,1
930026,39.1074949879112,-84.5776769979601,"commercial","Y",43434,56892,4
930026,39.1074949879112,-84.5776769979601,"residential","N",53013,73826.28,7
930026,39.1074949879112,-84.5776769979601,"residential","Y",38333.5,155820,24
930027,39.109744989877,-84.5776769979627,"commercial","N",267445.15,432490.3,2
930027,39.109744989877,-84.5776769979627,"commercial","Y",92679.4,1422300,9
930027,39.109744989877,-84.5776769979627,"publicly owned","Y",50272.5,74945,2
930027,39.109744989877,-84.5776769979627,"residential","N",43333,101970,28
930027,39.109744989877,-84.5776769979627,"residential","Y",34795,434070,86
930028,39.1119949918421,-84.5776769979654,"commercial","N",48426,48426,1
930028,39.1119949918421,-84.5776769979654,"commercial","Y",74377.1785,168842.1,4
930028,39.1119949918421,-84.5776769979654,"residential","N",54306,70524,4
930028,39.1119949918421,-84.5776769979654,"residential","Y",35019.28,172950,12
930029,39.1142449938065,-84.577676997968,"commercial","Y",111300,129300,3
930029,39.1142449938065,-84.577676997968,"publicly owned","Y",38955,38955,1
930029,39.1142449938065,-84.577676997968,"residential","N",26120,172777,7
930029,39.1142449938065,-84.577676997968,"residential","Y",12603.5,235972.5,24
930030,39.1164949957701,-84.5776769979707,"commercial","N",65714,65714,1
930030,39.1164949957701,-84.5776769979707,"commercial","Y",28325,28325,1
930030,39.1164949957701,-84.5776769979707,"publicly owned","Y",36256,36256,1
930030,39.1164949957701,-84.5776769979707,"residential","N",22374,285484.5,23
930030,39.1164949957701,-84.5776769979707,"residential","Y",13836,84524,69
930031,39.1187449977329,-84.5776769979733,"commercial","Y",18937,18937,1
930031,39.1187449977329,-84.5776769979733,"residential","N",38522,79111.68,21
930031,39.1187449977329,-84.5776769979733,"residential","Y",16955.798,371863.04,73
930032,39.120994999695,-84.5776769979759,"residential","N",31862,52118,18
930032,39.120994999695,-84.5776769979759,"residential","Y",19890.403,1210650,57
930033,39.1232450016564,-84.5776769979786,"residential","N",38522,58880,13
930033,39.1232450016564,-84.5776769979786,"residential","Y",24980,172777,46
930035,39.1277450055769,-84.5776769979839,"residential","N",43520,48640,3
930035,39.1277450055769,-84.5776769979839,"residential","Y",22280.206,73565.235,8
