"cell_id","lat_cell","long_cell","sum_cost","num_events"
20012,39.0758799204781,-84.3720887899555,112.005,12
20013,39.0781299205592,-84.3720887899533,10.082,1
20015,39.0826299207212,-84.3720887899489,40.328,4
20016,39.0848799208022,-84.3720887899467,0.304,1
20021,39.0961299212065,-84.3720887899357,30.246,3
30012,39.0758831462979,-84.3743479955261,30.246,3
30013,39.0781331464321,-84.3743479955234,20.164,2
30014,39.0803831465662,-84.3743479955207,40.328,4
30015,39.0826331467003,-84.3743479955181,345.298,37
30016,39.0848831468343,-84.3743479955154,110.902,11
30018,39.0893831471023,-84.37434799551,20.164,2
30021,39.0961331475038,-84.374347995502,91.533,13
30022,39.0983831476375,-84.3743479954993,10.082,1
30046,39.1523831508322,-84.3743479954349,91.841,10
40014,39.0803863288988,-84.3766072012955,20.164,2
40015,39.0826363290853,-84.3766072012924,111.51,13
40016,39.0848863292717,-84.3766072012893,497.136,54
40017,39.087136329458,-84.3766072012861,112.005,12
40018,39.0893863296443,-84.376607201283,20.164,2
40019,39.0916363298305,-84.3766072012798,10.082,1
40020,39.0938863300166,-84.3766072012767,20.164,2
40021,39.0961363302027,-84.3766072012736,40.328,4
40022,39.0983863303887,-84.3766072012704,30.246,3
40023,39.1006363305746,-84.3766072012673,10.082,1
40046,39.1523863348314,-84.376607201195,80.656,8
50014,39.0803894676381,-84.3788664072728,20.164,2
50015,39.0826394678762,-84.3788664072692,10.082,1
50016,39.0848894681142,-84.3788664072656,212.775,25
50017,39.0871394683522,-84.378866407262,173.246,21
50018,39.0893894685901,-84.3788664072585,21.267,3
50020,39.0938894690656,-84.3788664072513,60.796,7
50021,39.0961394693032,-84.3788664072477,32.897,7
50022,39.0983894695407,-84.3788664072441,20.468,3
50046,39.1523894752143,-84.3788664071581,335.329,39
50047,39.1546394754496,-84.3788664071545,30.246,3
50048,39.1568894756848,-84.378866407151,40.632,5
50049,39.1591394759199,-84.3788664071474,50.41,5
60014,39.0803925627839,-84.3811256134496,40.328,4
60016,39.084892563362,-84.3811256134416,92.449,12
60017,39.0871425636508,-84.3811256134376,391.749,48
60018,39.0893925639396,-84.3811256134336,92.944,11
60020,39.0938925645168,-84.3811256134257,71.981,9
60021,39.0961425648052,-84.3811256134216,20.164,2
60022,39.0983925650936,-84.3811256134176,10.082,1
60046,39.152392571981,-84.3811256133215,401.527,48
60047,39.1546425722666,-84.3811256133175,202.856,24
60048,39.1568925725522,-84.3811256133135,131.37,14
60049,39.1591425728376,-84.3811256133095,265.886,31
60050,39.1613925731229,-84.3811256133055,30.246,3
70014,39.0803956143363,-84.3833848198233,30.246,3
70015,39.0826456146756,-84.3833848198189,30.246,3
70016,39.0848956150148,-84.3833848198145,80.656,8
70017,39.0871456153539,-84.3833848198101,112.005,12
70018,39.0893956156928,-84.3833848198057,143.354,16
70019,39.0916456160316,-84.3833848198013,10.082,1
70020,39.0938956163703,-84.3833848197969,294.888,32
70021,39.0961456167089,-84.3833848197925,31.349,4
70023,39.1006456173856,-84.3833848197837,10.082,1
70045,39.1501456247961,-84.3833848196868,131.066,13
70046,39.1523956251315,-84.3833848196823,100.82,10
70047,39.1546456254668,-84.3833848196779,81.264,10
70048,39.1568956258019,-84.3833848196736,20.164,2
70049,39.1591456261369,-84.3833848196691,151.23,15
70050,39.1613956264718,-84.3833848196647,110.902,11
80014,39.0803986222953,-84.3856440263911,41.431,5
80015,39.0826486226842,-84.3856440263863,60.492,6
80016,39.0848986230729,-84.3856440263815,151.23,15
80017,39.0871486234614,-84.3856440263767,70.574,7
80018,39.0893986238498,-84.3856440263719,273.925,30
80019,39.0916486242381,-84.3856440263671,507.409,53
80020,39.0938986246261,-84.3856440263623,1196.902,126
80021,39.0961486250141,-84.3856440263576,244.782,28
80022,39.0983986254019,-84.3856440263528,232.989,24
80023,39.1006486257896,-84.385644026348,103.026,12
80024,39.1028986261771,-84.3856440263432,40.773,6
80045,39.1501486342814,-84.3856440262426,92.449,12
80046,39.1523986346657,-84.3856440262378,112.005,12
80047,39.1546486350499,-84.385644026233,40.328,4
80048,39.1568986354339,-84.3856440262282,10.386,2
80049,39.1591486358178,-84.3856440262235,458.406,50
80050,39.1613986362015,-84.3856440262187,424.851,44
80051,39.1636486365851,-84.3856440262139,121.125,13
80052,39.1658986369686,-84.3856440262091,60.796,7
90014,39.0804015866609,-84.38790323315,61.595,7
90015,39.0826515870985,-84.3879032331449,30.246,3
90016,39.084901587536,-84.3879032331397,41.431,5
90017,39.0871515879733,-84.3879032331346,110.902,11
90018,39.0894015884105,-84.3879032331294,112.005,12
90019,39.0916515888474,-84.3879032331243,516.692,54
90020,39.0939015892843,-84.3879032331191,1881.474,205
90021,39.0961515897209,-84.387903233114,526.279,56
90022,39.0984015901574,-84.3879032331088,194.372,23
90023,39.1006515905937,-84.3879032331037,182.579,19
90024,39.1029015910298,-84.3879032330985,132.282,17
90025,39.1051515914658,-84.3879032330934,50.41,5
90045,39.1501516001512,-84.3879032329903,90.738,9
90046,39.1524016005837,-84.3879032329851,50.41,5
90047,39.1546516010161,-84.38790323298,90.738,9
90048,39.1569016014483,-84.3879032329748,40.936,6
90049,39.1591516018804,-84.3879032329697,315.052,34
90050,39.1614016023123,-84.3879032329645,252.354,26
90051,39.163651602744,-84.3879032329594,61.899,8
90052,39.1659016031755,-84.3879032329542,30.246,3
100014,39.0804045074331,-84.3901624400974,60.492,6
100015,39.0826545079188,-84.390162440092,82.063,10
100016,39.0849045084043,-84.3901624400865,276.93,32
100017,39.0871545088897,-84.390162440081,203.846,22
100018,39.0894045093748,-84.3901624400755,244.782,28
100019,39.0916545098598,-84.39016244007,287.457,35
100020,39.0939045103446,-84.3901624400645,152.637,17
100023,39.1006545117979,-84.390162440048,10.082,1
100024,39.102904512282,-84.3901624400425,91.042,10
100025,39.1051545127659,-84.390162440037,162.415,17
100045,39.1501545224054,-84.390162439927,162.415,17
100046,39.1524045228854,-84.3901624399215,110.902,11
100047,39.1546545233653,-84.390162439916,70.574,7
100048,39.156904523845,-84.3901624399105,161.92,18
100049,39.1591545243245,-84.390162439905,227.927,29
100050,39.1614045248039,-84.3901624398995,195.149,24
100051,39.163654525283,-84.390162439894,153.74,18
100052,39.165904525762,-84.3901624398885,70.574,7
110014,39.0804073846118,-84.3924216472305,91.346,11
110015,39.0826573851449,-84.3924216472247,100.82,10
