"cell_id","lat","long","neighborhood","dist","stop_id","lat_stop","long_stop","n_object"
240002,39.0534408078956,-84.4217913556886,"California",0.0404298497902922,1240360,39.08007,-84.39137,6
250002,39.0534430743166,-84.424050565129,"California",0.042154626181478,1240360,39.08007,-84.39137,6
230003,39.0556884989399,-84.419532146386,"California",0.0372500212484581,1240360,39.08007,-84.39137,6
240003,39.055690808984,-84.42179135568,"California",0.0389846615478976,1240360,39.08007,-84.39137,6
250003,39.0556930754424,-84.4240505651204,"California",0.0407707467122657,1240360,39.08007,-84.39137,6
260003,39.0556952983152,-84.4263097747044,"California",0.0426018067529657,1240360,39.08007,-84.39137,6
210004,39.0579337490662,-84.4150137282404,"California",0.0323888791178394,1240360,39.08007,-84.39137,6
220004,39.0579361463211,-84.417272937233,"California",0.0340715370357096,1240360,39.08007,-84.39137,6
230004,39.0579384999897,-84.4195321463776,"California",0.0358177299852978,1240360,39.08007,-84.39137,6
240004,39.0579408100719,-84.4217913556714,"California",0.0376186114544417,1240360,39.08007,-84.39137,6
250004,39.0579430765678,-84.4240505651117,"California",0.0394666957901802,1240360,39.08007,-84.39137,6
260004,39.0579452994773,-84.4263097746956,"California",0.0413556553448058,1240360,39.08007,-84.39137,6
270004,39.0579474788004,-84.4285689844203,"California",0.0432801384716871,1240360,39.08007,-84.39137,6
200005,39.0601813091555,-84.4127545193946,"California",0.029203727386175,1240360,39.08007,-84.39137,6
210005,39.060183750037,-84.4150137282322,"California",0.0308948025128688,1240360,39.08007,-84.39137,6
220005,39.0601861473315,-84.4172729372247,"California",0.0326547049260798,1240360,39.08007,-84.39137,6
230005,39.060188501039,-84.4195321463691,"California",0.0344728949908576,1240360,39.08007,-84.39137,6
240005,39.0601908111594,-84.4217913556628,"California",0.0363406250541089,1240360,39.08007,-84.39137,6
250005,39.0601930776927,-84.424050565103,"California",0.0382506388948239,1240360,39.08007,-84.39137,6
260005,39.060195300639,-84.4263097746868,"California",0.0401969094565083,1240360,39.08007,-84.39137,6
270005,39.0601974799982,-84.4285689844115,"California",0.0421744175119126,1240360,39.08007,-84.39137,6
190006,39.0624288255759,-84.4104953107068,"California",0.0260190035299894,1240360,39.08007,-84.39137,6
200006,39.0624313100856,-84.4127545193866,"California",0.0277204085700812,1240360,39.08007,-84.39137,6
210006,39.0624337510075,-84.4150137282241,"California",0.0294968330988382,1240360,39.08007,-84.39137,6
220006,39.0624361483416,-84.4172729372163,"California",0.0313355210702198,1240360,39.08007,-84.39137,6
230006,39.062438502088,-84.4195321463607,"California",0.0332261373960667,1240360,39.08007,-84.39137,6
240006,39.0624408122465,-84.4217913556542,"California",0.0351603063224333,1240360,39.08007,-84.39137,6
250006,39.0624430788173,-84.4240505650943,"California",0.0371312225123874,1240360,39.08007,-84.39137,6
260006,39.0624453018003,-84.426309774678,"California",0.0391333341434179,1240360,39.08007,-84.39137,6
270006,39.0624474811954,-84.4285689844026,"California",0.0411620894708217,1240360,39.08007,-84.39137,6
280006,39.0624496170028,-84.4308281942653,"California",0.0432137361454296,1240360,39.08007,-84.39137,6
180007,39.0646762983256,-84.4082361021797,"California",0.0228348736360992,1240360,39.08007,-84.39137,6
190007,39.0646788264647,-84.4104953106989,"California",0.0245492511519918,1240360,39.08007,-84.39137,6
200007,39.0646813110154,-84.4127545193786,"California",0.0263459563826878,1240360,39.08007,-84.39137,6
210007,39.0646837519776,-84.4150137282159,"California",0.028209262878606,1240360,39.08007,-84.39137,6
220007,39.0646861493513,-84.417272937208,"California",0.0301268155765441,1240360,39.08007,-84.39137,6
230007,39.0646885031365,-84.4195321463522,"California",0.0320888911139759,1240360,39.08007,-84.39137,6
240007,39.0646908133332,-84.4217913556457,"California",0.0340878022444159,1240360,39.08007,-84.39137,6
250007,39.0646930799414,-84.4240505650856,"California",0.0361174335301199,1240360,39.08007,-84.39137,6
260007,39.0646953029611,-84.4263097746692,"California",0.0381728851801025,1240360,39.08007,-84.39137,6
270007,39.0646974823923,-84.4285689843938,"California",0.0402502017079429,1240360,39.08007,-84.39137,6
280007,39.0646996182349,-84.4308281942564,"California",0.0423461654649119,1240360,39.08007,-84.39137,6
170008,39.0669237274022,-84.4059768938162,"California",0.0196516113887298,1240360,39.08007,-84.39137,6
180008,39.0669262991723,-84.408236102172,"California",0.021382756462263,1240360,39.08007,-84.39137,6
190008,39.0669288273532,-84.4104953106911,"California",0.0232049117120576,1240360,39.08007,-84.39137,6
200008,39.0669313119448,-84.4127545193706,"California",0.0250982627391497,1240360,39.08007,-84.39137,6
210008,39.0669337529473,-84.4150137282077,"California",0.0270478625807889,1240360,39.08007,-84.39137,6
220008,39.0669361503606,-84.4172729371997,"California",0.0290423856100388,1240360,39.08007,-84.39137,6
230008,39.0669385041847,-84.4195321463438,"California",0.0310731824735904,1240360,39.08007,-84.39137,6
240008,39.0669408144195,-84.4217913556371,"California",0.0331335840621894,1240360,39.08007,-84.39137,6
250008,39.0669430810651,-84.4240505650769,"California",0.0352183948309556,1240360,39.08007,-84.39137,6
260008,39.0669453041215,-84.4263097746605,"California",0.0373235246892594,1240360,39.08007,-84.39137,6
270008,39.0669474835886,-84.4285689843849,"California",0.0394457206327322,1240360,39.08007,-84.39137,6
280008,39.0669496194665,-84.4308281942475,"California",0.0404368747788605,2850668,39.107376,-84.429907,6
170009,39.0691737282062,-84.4059768938088,"Mt. Washington",0.0182233390394285,1240360,39.08007,-84.39137,6
180009,39.0691763000187,-84.4082361021644,"Mt. Washington",0.0200782992681802,1240360,39.08007,-84.39137,6
