"cell_id","lat_cell","long_cell","animals_insects","building related","construction","food","others","police property","service complaint","street_sidewalk","traffic_signal","trash","trees_plants","water leak","zoning_parking","n_request"
60024,39.1028925656699,-84.3811256134096,0,0,0,0,13,2,0,8,0,53,0,0,0,76
60046,39.152392571981,-84.3811256133215,4,22,0,0,53,5,3,22,0,218,16,0,0,343
60047,39.1546425722666,-84.3811256133175,4,15,0,0,63,3,0,14,0,194,22,1,0,316
60048,39.1568925725522,-84.3811256133135,6,17,0,0,57,0,1,51,0,187,33,0,1,353
60049,39.1591425728376,-84.3811256133095,2,25,0,0,61,1,0,24,0,57,11,0,0,181
60050,39.1613925731229,-84.3811256133055,0,27,0,0,50,3,0,47,0,49,15,0,1,192
70013,39.0781456139969,-84.3833848198277,0,3,0,0,4,0,3,1,0,47,3,0,0,61
70014,39.0803956143363,-84.3833848198233,1,13,0,0,13,1,2,6,0,98,7,0,3,144
70015,39.0826456146756,-84.3833848198189,0,1,0,0,7,0,1,2,0,19,1,0,0,31
70016,39.0848956150148,-84.3833848198145,0,6,0,0,8,0,0,1,0,77,4,0,2,98
70017,39.0871456153539,-84.3833848198101,4,21,2,0,33,1,0,6,0,73,0,1,7,148
70018,39.0893956156928,-84.3833848198057,1,17,0,0,30,0,2,8,3,81,0,0,13,155
70019,39.0916456160316,-84.3833848198013,0,1,0,0,1,0,4,6,4,79,1,0,0,96
70020,39.0938956163703,-84.3833848197969,6,13,0,0,38,1,2,11,0,113,1,0,0,185
70021,39.0961456167089,-84.3833848197925,0,1,0,0,12,0,0,2,0,34,0,0,1,50
70022,39.0983956170473,-84.3833848197881,0,1,0,0,5,2,1,7,0,43,0,0,0,59
70023,39.1006456173856,-84.3833848197837,0,0,0,0,3,0,0,4,0,25,0,0,0,32
70024,39.1028956177238,-84.3833848197793,0,2,0,0,9,0,3,19,1,68,1,0,0,103
70025,39.1051456180618,-84.3833848197749,0,1,0,0,0,0,0,2,0,6,0,0,0,9
70045,39.1501456247961,-84.3833848196868,0,1,0,0,16,1,2,33,0,126,0,0,0,179
70046,39.1523956251315,-84.3833848196823,0,8,0,0,25,3,4,25,0,189,5,0,0,259
70047,39.1546456254668,-84.3833848196779,5,11,1,0,51,5,2,45,0,180,17,1,0,318
