"CSR","lat","long","accuracy","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"SR17033916",39.1398937,-84.4422002,"street_address",0.0811773786926737,330040,39.1389596894487,-84.4421242452449,"Hyde Park",201414
"SR17033065",39.1373301,-84.4370825,"premise",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR17032973",39.1769778,-84.551232,"premise",0.105751168939698,810057,39.1772505451736,-84.5505664413961,"College Hill",200100
"SR17030956",39.182284,-84.4274139,"street_address",0.147120916890717,260059,39.1816953627268,-84.4263097742127,"Pleasant Ridge",202946
"SR17030943",39.182284,-84.4274139,"street_address",0.147120916890717,260059,39.1816953627268,-84.4263097742127,"Pleasant Ridge",202946
"SR17028010",39.1373592,-84.4372671,"street_address",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR17027694",39.1373592,-84.4372671,"street_address",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR17026608",39.1369539,-84.4372671,"premise",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR17025838",39.1461161,-84.4303598,"premise",0.0502040722308,280043,39.1456996622835,-84.4308281939353,"Oakley",202657
"SR17025212",39.1423289,-84.502883,"street_address",0.0469931421080441,600041,39.1412450173266,-84.5031229658973,"Corryville",200172
"SR17024638",39.1391075,-84.5010796,"establishment",0.173553685721116,590040,39.1389942739627,-84.5008637530866,"Corryville",200172
"SR17024380",39.1449261,-84.4326665,"premise",0.0959646541152277,290043,39.1457017557727,-84.4330874039314,"Oakley",202657
"SR17023231",39.1391075,-84.5010796,"establishment",0.173553685721116,590040,39.1389942739627,-84.5008637530866,"Corryville",200172
"SR17021907",39.1373301,-84.4370825,"premise",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR17021845",39.1367215,-84.4266478,"premise",0.0694498776694971,260039,39.1366953398788,-84.4263097743884,"Hyde Park",201414
"SR17020429",39.1372375,-84.4414949,"premise",0.0788356219950912,330039,39.1367096880683,-84.4421242452539,"Hyde Park",201414
"SR17020390",39.1416483,-84.4234233,"premise",0.159041069377432,250041,39.1411931179119,-84.4240505647903,"Hyde Park",201414
"SR17020389",39.1397092,-84.4398788,"premise",0.0796596866020682,320040,39.1389577705104,-84.4398650347336,"Hyde Park",201414
"SR17020247",39.1510716,-84.4328983,"premise",0.119842085509154,290045,39.1502017582705,-84.4330874039134,"Oakley",202657
"SR17020178",39.1372375,-84.4414949,"premise",0.0788356219950912,330039,39.1367096880683,-84.4421242452539,"Hyde Park",201414
"SR17020037",39.1681,-84.5361393,"premise",0.116516232462208,750053,39.1682509296331,-84.5370111620965,"Northside",274791
"SR17019235",39.1132992,-84.5093867,"premise",0.114100670652376,630029,39.1142469560116,-84.5099006046706,"Mt. Auburn",274621
"SR17018992",39.1392976,-84.4422338,"street_address",0.0811773786926737,330040,39.1389596894487,-84.4421242452449,"Hyde Park",201414
