sample_index,x-tsne,y-tsne
1,2.5943875730229307,-5.441451191089117
2,-4.255144246657283,1.3670731268823575
3,-4.305577262633526,-11.240383731452816
4,-8.112212772299252,-9.97281083902146
5,9.348014299967778,3.8192397317631497
6,6.885889777020311,-8.316483864073266
7,-0.8956083758058213,-0.9202082795849855
8,7.153776175736955,-8.236163191686858
9,5.894753731069666,1.703255124980268
10,0.44486297936482183,-10.809474556281353
11,-0.29108527331549405,7.620156986065482
12,-1.256487593527375,6.598380062060202
13,6.015247407176401,-12.167352706729382
14,5.213067489520149,3.807264187809078
15,8.159674651658403,1.9221999026419958
16,9.265691405027763,3.570752035487981
17,-5.930840702114357,9.141366067575632
18,1.6608055810001585,-0.5622274624994476
19,7.9322080994532955,3.3509635847641306
20,-10.805324016830552,4.0128514083343125
21,-9.764582855970849,1.1240131745821944
22,-1.1631982229412445,-8.348154606118454
23,-0.7233600763319934,-9.988331617741991
24,-7.146700379130275,-7.854984254869866
25,-13.487250742751774,-5.810327677072026
26,8.271416644360082,2.2781065524474355
27,7.661412031588777,4.290407531369359
28,2.7492314811374627,-1.4433887730779575
29,-1.4967424573744659,-1.9061365142273403
30,6.164985850164724,1.6449423453513206
31,-2.741483895380287,0.6308524074571816
32,9.576318753669494,4.804619077433521
33,2.3032227530748273,-4.067803999854834
34,-4.5042317475380536,7.9787524274226485
35,0.19661321566884113,0.9975787307459669
36,-0.6235210255386439,-8.134884826732918
37,-10.980140229898579,3.675627637660323
38,-4.267728774375931,-6.3219225862879895
39,6.616332178399371,-5.636530246886779
40,-3.0484393598174506,0.8488935214011876
41,-9.650667268638294,9.094074511920313
42,7.747499179281564,1.4122959417891616
43,9.297079453295161,3.592683089567482
44,5.911982085157825,-6.946619077746705
45,-2.749585461221675,13.735987569414847
46,-1.0137186631876338,-8.341223782431214
47,-0.5178471147798867,-8.030231461636959
48,-5.594075320188297,8.126312082540892
49,-3.9528344994581848,4.910514895977444
50,3.7046132234443605,6.346191553465397
51,1.2504562838897506,-11.576299252402432
52,-7.206981203912566,-3.0751387308508624
53,-6.848049161718997,-2.1101265043621678
54,-9.712547546210876,2.924010644826416
55,6.844392064379183,-7.465731867415861
56,-1.5931221160466802,7.648914410132213
57,-9.794772372800567,1.6097742662316206
58,9.21889790527394,5.782314701057847
59,9.499598269178755,4.326356995992026
60,9.42733413526883,4.953720300200158
